"Step","DDPG_None_FetchReachDense-v4_19 - eval/avg_reward","DDPG_None_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_18 - eval/avg_reward","DDPG_None_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_17 - eval/avg_reward","DDPG_None_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_16 - eval/avg_reward","DDPG_None_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_15 - eval/avg_reward","DDPG_None_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_14 - eval/avg_reward","DDPG_None_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_13 - eval/avg_reward","DDPG_None_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_12 - eval/avg_reward","DDPG_None_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_11 - eval/avg_reward","DDPG_None_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_10 - eval/avg_reward","DDPG_None_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_9 - eval/avg_reward","DDPG_None_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_8 - eval/avg_reward","DDPG_None_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_7 - eval/avg_reward","DDPG_None_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_6 - eval/avg_reward","DDPG_None_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_5 - eval/avg_reward","DDPG_None_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_4 - eval/avg_reward","DDPG_None_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_3 - eval/avg_reward","DDPG_None_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_2 - eval/avg_reward","DDPG_None_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_1 - eval/avg_reward","DDPG_None_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_None_FetchReachDense-v4_0 - eval/avg_reward","DDPG_None_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_None_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-10.037791322225644","-10.037791322225644","-10.037791322225644","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.58369543285833","-11.58369543285833","-11.58369543285833","-10.06507437196603","-10.06507437196603","-10.06507437196603","-8.191991191740826","-8.191991191740826","-8.191991191740826","-6.954734687917676","-6.954734687917676","-6.954734687917676","-10.122734456865887","-10.122734456865887","-10.122734456865887","-7.236430258809298","-7.236430258809298","-7.236430258809298","-13.554713624503254","-13.554713624503254","-13.554713624503254","-14.89514957268906","-14.89514957268906","-14.89514957268906","-7.68111776208538","-7.68111776208538","-7.68111776208538","-9.181913295389142","-9.181913295389142","-9.181913295389142","-9.141734188559669","-9.141734188559669","-9.141734188559669","-12.403093904713952","-12.403093904713952","-12.403093904713952","-7.987727605256043","-7.987727605256043","-7.987727605256043","-8.624134736627568","-8.624134736627568","-8.624134736627568","-10.507606427254775","-10.507606427254775","-10.507606427254775","-9.774099428452626","-9.774099428452626","-9.774099428452626","-11.514277637819642","-11.514277637819642","-11.514277637819642","-9.655805524824595","-9.655805524824595","-9.655805524824595"
"500","-10.037791322225644","-10.037791322225644","-10.037791322225644","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.58369543285833","-11.58369543285833","-11.58369543285833","-10.06507437196603","-10.06507437196603","-10.06507437196603","-8.191991191740826","-8.191991191740826","-8.191991191740826","-6.954734687917676","-6.954734687917676","-6.954734687917676","-10.122734456865887","-10.122734456865887","-10.122734456865887","-7.236430258809298","-7.236430258809298","-7.236430258809298","-13.554713624503254","-13.554713624503254","-13.554713624503254","-14.89514957268906","-14.89514957268906","-14.89514957268906","-7.68111776208538","-7.68111776208538","-7.68111776208538","-9.181913295389142","-9.181913295389142","-9.181913295389142","-9.141734188559669","-9.141734188559669","-9.141734188559669","-12.403093904713952","-12.403093904713952","-12.403093904713952","-7.987727605256043","-7.987727605256043","-7.987727605256043","-8.624134736627568","-8.624134736627568","-8.624134736627568","-10.507606427254775","-10.507606427254775","-10.507606427254775","-9.774099428452626","-9.774099428452626","-9.774099428452626","-11.514277637819642","-11.514277637819642","-11.514277637819642","-9.655805524824595","-9.655805524824595","-9.655805524824595"
"1000","-11.65971491305783","-11.65971491305783","-11.65971491305783","-9.53181624523325","-9.53181624523325","-9.53181624523325","-13.444602484074116","-13.444602484074116","-13.444602484074116","-9.301970897472877","-9.301970897472877","-9.301970897472877","-7.5378188400009565","-7.5378188400009565","-7.5378188400009565","-6.821242474693176","-6.821242474693176","-6.821242474693176","-12.175053835864322","-12.175053835864322","-12.175053835864322","-8.403289587992308","-8.403289587992308","-8.403289587992308","-10.600748233612133","-10.600748233612133","-10.600748233612133","-15.847195425394696","-15.847195425394696","-15.847195425394696","-7.210353856770544","-7.210353856770544","-7.210353856770544","-8.68390942934639","-8.68390942934639","-8.68390942934639","-10.051896161686084","-10.051896161686084","-10.051896161686084","-11.240506594855505","-11.240506594855505","-11.240506594855505","-8.287935003953653","-8.287935003953653","-8.287935003953653","-11.461826217888113","-11.461826217888113","-11.461826217888113","-11.13016938169854","-11.13016938169854","-11.13016938169854","-8.46077849755017","-8.46077849755017","-8.46077849755017","-10.681106350391516","-10.681106350391516","-10.681106350391516","-9.004850338360683","-9.004850338360683","-9.004850338360683"
"1500","-36.6173908943591","-36.6173908943591","-36.6173908943591","-17.618923470625656","-17.618923470625656","-17.618923470625656","-31.831386600777478","-31.831386600777478","-31.831386600777478","-27.383710124311914","-27.383710124311914","-27.383710124311914","-19.808071065076145","-19.808071065076145","-19.808071065076145","-9.537650773196361","-9.537650773196361","-9.537650773196361","-35.263235414704155","-35.263235414704155","-35.263235414704155","-20.49687743334062","-20.49687743334062","-20.49687743334062","-11.635199436237922","-11.635199436237922","-11.635199436237922","-21.387067218933307","-21.387067218933307","-21.387067218933307","-27.876710539020632","-27.876710539020632","-27.876710539020632","-17.824769684211986","-17.824769684211986","-17.824769684211986","-11.81659382660149","-11.81659382660149","-11.81659382660149","-15.063730152884187","-15.063730152884187","-15.063730152884187","-15.73915397703486","-15.73915397703486","-15.73915397703486","-21.16745662215003","-21.16745662215003","-21.16745662215003","-19.336668003527354","-19.336668003527354","-19.336668003527354","-12.422616208764596","-12.422616208764596","-12.422616208764596","-21.971546549502307","-21.971546549502307","-21.971546549502307","-24.0839556797719","-24.0839556797719","-24.0839556797719"
"2000","-17.444803774866898","-17.444803774866898","-17.444803774866898","-17.669872419253206","-17.669872419253206","-17.669872419253206","-34.6632983428328","-34.6632983428328","-34.6632983428328","-11.685492347406287","-11.685492347406287","-11.685492347406287","-29.895025219405518","-29.895025219405518","-29.895025219405518","-5.676914924852088","-5.676914924852088","-5.676914924852088","-19.438906965117415","-19.438906965117415","-19.438906965117415","-29.891602565999875","-29.891602565999875","-29.891602565999875","-14.10483767840393","-14.10483767840393","-14.10483767840393","-8.149149210388064","-8.149149210388064","-8.149149210388064","-14.764480082651474","-14.764480082651474","-14.764480082651474","-12.932067285207111","-12.932067285207111","-12.932067285207111","-24.959269136419323","-24.959269136419323","-24.959269136419323","-8.085631718226614","-8.085631718226614","-8.085631718226614","-10.93776487197527","-10.93776487197527","-10.93776487197527","-14.63477642524498","-14.63477642524498","-14.63477642524498","-20.37141219060112","-20.37141219060112","-20.37141219060112","-20.02315684161975","-20.02315684161975","-20.02315684161975","-7.91861247698445","-7.91861247698445","-7.91861247698445","-24.083270629976575","-24.083270629976575","-24.083270629976575"
"2500","-11.044819468422265","-11.044819468422265","-11.044819468422265","-9.298506928754296","-9.298506928754296","-9.298506928754296","-34.663300797797774","-34.663300797797774","-34.663300797797774","-7.003935635119393","-7.003935635119393","-7.003935635119393","-7.359420569414295","-7.359420569414295","-7.359420569414295","-9.81240461549784","-9.81240461549784","-9.81240461549784","-21.948586054454562","-21.948586054454562","-21.948586054454562","-9.567087741932408","-9.567087741932408","-9.567087741932408","-9.877241936635333","-9.877241936635333","-9.877241936635333","-8.103885044082784","-8.103885044082784","-8.103885044082784","-14.551190398960717","-14.551190398960717","-14.551190398960717","-5.593243983513191","-5.593243983513191","-5.593243983513191","-15.776083495871017","-15.776083495871017","-15.776083495871017","-7.801729224313085","-7.801729224313085","-7.801729224313085","-8.322214746858268","-8.322214746858268","-8.322214746858268","-9.039124158582712","-9.039124158582712","-9.039124158582712","-11.375152030504697","-11.375152030504697","-11.375152030504697","-12.352697570771312","-12.352697570771312","-12.352697570771312","-10.163350083446783","-10.163350083446783","-10.163350083446783","-24.083243797345407","-24.083243797345407","-24.083243797345407"
"3000","-13.17042180673431","-13.17042180673431","-13.17042180673431","-5.330639470075841","-5.330639470075841","-5.330639470075841","-34.66330064543682","-34.66330064543682","-34.66330064543682","-7.025581335730523","-7.025581335730523","-7.025581335730523","-10.042325382905641","-10.042325382905641","-10.042325382905641","-10.76246871467456","-10.76246871467456","-10.76246871467456","-11.83174559864949","-11.83174559864949","-11.83174559864949","-10.659723717579","-10.659723717579","-10.659723717579","-7.724111386976529","-7.724111386976529","-7.724111386976529","-6.2011457447021225","-6.2011457447021225","-6.2011457447021225","-6.463756436096814","-6.463756436096814","-6.463756436096814","-9.56849959908525","-9.56849959908525","-9.56849959908525","-10.783865451561505","-10.783865451561505","-10.783865451561505","-9.684845375096085","-9.684845375096085","-9.684845375096085","-10.962920630717752","-10.962920630717752","-10.962920630717752","-21.517368250755194","-21.517368250755194","-21.517368250755194","-6.463961686943556","-6.463961686943556","-6.463961686943556","-7.377220965835855","-7.377220965835855","-7.377220965835855","-16.030926821886872","-16.030926821886872","-16.030926821886872","-21.479458008230118","-21.479458008230118","-21.479458008230118"
"3500","-10.116918601421656","-10.116918601421656","-10.116918601421656","-6.092722843383069","-6.092722843383069","-6.092722843383069","-34.663300581117355","-34.663300581117355","-34.663300581117355","-8.176139086665845","-8.176139086665845","-8.176139086665845","-8.109924094996089","-8.109924094996089","-8.109924094996089","-12.312221085847515","-12.312221085847515","-12.312221085847515","-8.820730805226493","-8.820730805226493","-8.820730805226493","-7.016890510526588","-7.016890510526588","-7.016890510526588","-7.186419638133364","-7.186419638133364","-7.186419638133364","-5.669065118980923","-5.669065118980923","-5.669065118980923","-8.717075568079116","-8.717075568079116","-8.717075568079116","-5.290012019178986","-5.290012019178986","-5.290012019178986","-11.939853445586326","-11.939853445586326","-11.939853445586326","-6.642137649576443","-6.642137649576443","-6.642137649576443","-9.553224284614933","-9.553224284614933","-9.553224284614933","-9.115995067103437","-9.115995067103437","-9.115995067103437","-6.060261969087479","-6.060261969087479","-6.060261969087479","-4.69492546084136","-4.69492546084136","-4.69492546084136","-9.288395954423898","-9.288395954423898","-9.288395954423898","-8.134508405401697","-8.134508405401697","-8.134508405401697"
"4000","-5.160992684466821","-5.160992684466821","-5.160992684466821","-3.418711933240666","-3.418711933240666","-3.418711933240666","-34.66329503217374","-34.66329503217374","-34.66329503217374","-5.235424594666881","-5.235424594666881","-5.235424594666881","-5.725775929193312","-5.725775929193312","-5.725775929193312","-10.408875447949903","-10.408875447949903","-10.408875447949903","-4.617292512833343","-4.617292512833343","-4.617292512833343","-5.756422811011108","-5.756422811011108","-5.756422811011108","-4.370478289705231","-4.370478289705231","-4.370478289705231","-7.344472600008534","-7.344472600008534","-7.344472600008534","-6.7604071104831345","-6.7604071104831345","-6.7604071104831345","-7.390263154428704","-7.390263154428704","-7.390263154428704","-9.292858313868178","-9.292858313868178","-9.292858313868178","-6.407377671951304","-6.407377671951304","-6.407377671951304","-11.091551204907","-11.091551204907","-11.091551204907","-5.1618599488952075","-5.1618599488952075","-5.1618599488952075","-7.1923849352938145","-7.1923849352938145","-7.1923849352938145","-10.172608347121628","-10.172608347121628","-10.172608347121628","-3.8263183322003345","-3.8263183322003345","-3.8263183322003345","-7.017186477991977","-7.017186477991977","-7.017186477991977"
"4500","-5.361755752154529","-5.361755752154529","-5.361755752154529","-3.02896510588119","-3.02896510588119","-3.02896510588119","-29.241789947172016","-29.241789947172016","-29.241789947172016","-5.46223356019877","-5.46223356019877","-5.46223356019877","-8.398541126497268","-8.398541126497268","-8.398541126497268","-10.145798987890794","-10.145798987890794","-10.145798987890794","-4.133253403944533","-4.133253403944533","-4.133253403944533","-6.437306558773204","-6.437306558773204","-6.437306558773204","-4.65591961069304","-4.65591961069304","-4.65591961069304","-6.9397315275661615","-6.9397315275661615","-6.9397315275661615","-5.024954783927347","-5.024954783927347","-5.024954783927347","-6.308464231728806","-6.308464231728806","-6.308464231728806","-8.142343334060397","-8.142343334060397","-8.142343334060397","-7.140693038703008","-7.140693038703008","-7.140693038703008","-7.8738142172386585","-7.8738142172386585","-7.8738142172386585","-6.0915358768074","-6.0915358768074","-6.0915358768074","-7.182057604133668","-7.182057604133668","-7.182057604133668","-6.206898214643665","-6.206898214643665","-6.206898214643665","-4.40468601127033","-4.40468601127033","-4.40468601127033","-10.01542778636588","-10.01542778636588","-10.01542778636588"
