"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.472708992559433","-13.472708992559433","-13.472708992559433","-9.282757200583644","-9.282757200583644","-9.282757200583644","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.100554613706917","-12.100554613706917","-12.100554613706917","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.64451009383372","-10.64451009383372","-10.64451009383372","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-31.260024592074423","-31.260024592074423","-31.260024592074423","-16.14344413086216","-16.14344413086216","-16.14344413086216","-37.42797669571489","-37.42797669571489","-37.42797669571489","-13.420492557924769","-13.420492557924769","-13.420492557924769","-9.784974829192402","-9.784974829192402","-9.784974829192402","-14.314331169926897","-14.314331169926897","-14.314331169926897","-10.055033520485171","-10.055033520485171","-10.055033520485171","-25.047260789514905","-25.047260789514905","-25.047260789514905","-7.090922934367879","-7.090922934367879","-7.090922934367879","-14.297931299961615","-14.297931299961615","-14.297931299961615","-14.041593324882914","-14.041593324882914","-14.041593324882914","-8.300915541790346","-8.300915541790346","-8.300915541790346","-7.6438351724890765","-7.6438351724890765","-7.6438351724890765","-15.030781717958376","-15.030781717958376","-15.030781717958376","-13.855014594435735","-13.855014594435735","-13.855014594435735","-12.263483145247495","-12.263483145247495","-12.263483145247495","-18.55530905072662","-18.55530905072662","-18.55530905072662","-10.999885720195591","-10.999885720195591","-10.999885720195591","-38.695796527482116","-38.695796527482116","-38.695796527482116","-16.538783323859285","-16.538783323859285","-16.538783323859285"
"2000","-10.76331271335855","-10.76331271335855","-10.76331271335855","-8.668925102936448","-8.668925102936448","-8.668925102936448","-8.53744318718727","-8.53744318718727","-8.53744318718727","-14.434570867100138","-14.434570867100138","-14.434570867100138","-8.058417823185536","-8.058417823185536","-8.058417823185536","-14.166786468767066","-14.166786468767066","-14.166786468767066","-13.169877684089162","-13.169877684089162","-13.169877684089162","-25.048137409960532","-25.048137409960532","-25.048137409960532","-28.495955924262397","-28.495955924262397","-28.495955924262397","-11.050692173485963","-11.050692173485963","-11.050692173485963","-15.453846124662906","-15.453846124662906","-15.453846124662906","-16.180080034038383","-16.180080034038383","-16.180080034038383","-17.822103878247788","-17.822103878247788","-17.822103878247788","-17.946453121216148","-17.946453121216148","-17.946453121216148","-12.247426971104826","-12.247426971104826","-12.247426971104826","-21.716385848685366","-21.716385848685366","-21.716385848685366","-10.706217219412258","-10.706217219412258","-10.706217219412258","-8.644255488261564","-8.644255488261564","-8.644255488261564","-26.924573674115344","-26.924573674115344","-26.924573674115344","-10.1670928858047","-10.1670928858047","-10.1670928858047"
"2500","-7.138206940476467","-7.138206940476467","-7.138206940476467","-16.86769817915222","-16.86769817915222","-16.86769817915222","-14.346493578142447","-14.346493578142447","-14.346493578142447","-10.253200347732458","-10.253200347732458","-10.253200347732458","-5.326705799825388","-5.326705799825388","-5.326705799825388","-7.1384575148226235","-7.1384575148226235","-7.1384575148226235","-9.07443503674714","-9.07443503674714","-9.07443503674714","-25.048132893786168","-25.048132893786168","-25.048132893786168","-13.260862036700965","-13.260862036700965","-13.260862036700965","-15.113598783740647","-15.113598783740647","-15.113598783740647","-18.65134421335143","-18.65134421335143","-18.65134421335143","-18.5425869836429","-18.5425869836429","-18.5425869836429","-20.38338715507259","-20.38338715507259","-20.38338715507259","-11.932075364197782","-11.932075364197782","-11.932075364197782","-9.204863852292787","-9.204863852292787","-9.204863852292787","-7.611210854817027","-7.611210854817027","-7.611210854817027","-9.51041034949078","-9.51041034949078","-9.51041034949078","-13.042752545906604","-13.042752545906604","-13.042752545906604","-14.996262855614267","-14.996262855614267","-14.996262855614267","-18.312794988751065","-18.312794988751065","-18.312794988751065"
"3000","-6.57250376029099","-6.57250376029099","-6.57250376029099","-13.882311290421196","-13.882311290421196","-13.882311290421196","-7.855153756320253","-7.855153756320253","-7.855153756320253","-8.313457328406528","-8.313457328406528","-8.313457328406528","-6.4788906868757135","-6.4788906868757135","-6.4788906868757135","-17.183601177964402","-17.183601177964402","-17.183601177964402","-8.521557772058852","-8.521557772058852","-8.521557772058852","-19.35576242505286","-19.35576242505286","-19.35576242505286","-4.583313432643865","-4.583313432643865","-4.583313432643865","-13.655402162207718","-13.655402162207718","-13.655402162207718","-10.60658681275524","-10.60658681275524","-10.60658681275524","-9.905789902747026","-9.905789902747026","-9.905789902747026","-20.02007607874878","-20.02007607874878","-20.02007607874878","-6.237089172838571","-6.237089172838571","-6.237089172838571","-6.977205455370521","-6.977205455370521","-6.977205455370521","-18.799709952720224","-18.799709952720224","-18.799709952720224","-14.576090146018993","-14.576090146018993","-14.576090146018993","-15.293270848864534","-15.293270848864534","-15.293270848864534","-6.29330409864985","-6.29330409864985","-6.29330409864985","-8.698015940870043","-8.698015940870043","-8.698015940870043"
"3500","-12.826612099497996","-12.826612099497996","-12.826612099497996","-9.905917643895501","-9.905917643895501","-9.905917643895501","-9.562968898641927","-9.562968898641927","-9.562968898641927","-13.025672741293675","-13.025672741293675","-13.025672741293675","-7.905780937559318","-7.905780937559318","-7.905780937559318","-7.885948910030081","-7.885948910030081","-7.885948910030081","-9.020064367470422","-9.020064367470422","-9.020064367470422","-25.30874738051624","-25.30874738051624","-25.30874738051624","-7.020367008503376","-7.020367008503376","-7.020367008503376","-10.10315428734604","-10.10315428734604","-10.10315428734604","-7.1624159204463","-7.1624159204463","-7.1624159204463","-10.184602120183357","-10.184602120183357","-10.184602120183357","-23.69880587637428","-23.69880587637428","-23.69880587637428","-8.55974734856816","-8.55974734856816","-8.55974734856816","-8.22868354697375","-8.22868354697375","-8.22868354697375","-32.296065757313656","-32.296065757313656","-32.296065757313656","-6.61380594122565","-6.61380594122565","-6.61380594122565","-6.366836285151022","-6.366836285151022","-6.366836285151022","-7.580250297692994","-7.580250297692994","-7.580250297692994","-12.534822837271285","-12.534822837271285","-12.534822837271285"
"4000","-9.202866345755357","-9.202866345755357","-9.202866345755357","-9.02353717920658","-9.02353717920658","-9.02353717920658","-5.148948845920918","-5.148948845920918","-5.148948845920918","-7.805555667715412","-7.805555667715412","-7.805555667715412","-12.007527934906047","-12.007527934906047","-12.007527934906047","-11.032152260125262","-11.032152260125262","-11.032152260125262","-11.158083924980199","-11.158083924980199","-11.158083924980199","-39.17610947035329","-39.17610947035329","-39.17610947035329","-5.77778916414951","-5.77778916414951","-5.77778916414951","-14.077855283139716","-14.077855283139716","-14.077855283139716","-8.503013626514456","-8.503013626514456","-8.503013626514456","-7.876750728789183","-7.876750728789183","-7.876750728789183","-18.856918909922662","-18.856918909922662","-18.856918909922662","-11.645977098024328","-11.645977098024328","-11.645977098024328","-6.138162073370382","-6.138162073370382","-6.138162073370382","-10.870087272135185","-10.870087272135185","-10.870087272135185","-7.194166111670446","-7.194166111670446","-7.194166111670446","-6.9764830640496225","-6.9764830640496225","-6.9764830640496225","-7.398312921764169","-7.398312921764169","-7.398312921764169","-6.938984833853195","-6.938984833853195","-6.938984833853195"
"4500","-8.508075910809051","-8.508075910809051","-8.508075910809051","-4.659383301014735","-4.659383301014735","-4.659383301014735","-6.941810056970629","-6.941810056970629","-6.941810056970629","-11.312666615624904","-11.312666615624904","-11.312666615624904","-4.229157723637477","-4.229157723637477","-4.229157723637477","-6.473789416099788","-6.473789416099788","-6.473789416099788","-6.061736462307625","-6.061736462307625","-6.061736462307625","-32.98046293580232","-32.98046293580232","-32.98046293580232","-3.6950356326534513","-3.6950356326534513","-3.6950356326534513","-7.55238313561177","-7.55238313561177","-7.55238313561177","-6.670058762689433","-6.670058762689433","-6.670058762689433","-4.797637193172232","-4.797637193172232","-4.797637193172232","-11.037770590878717","-11.037770590878717","-11.037770590878717","-6.935030429465923","-6.935030429465923","-6.935030429465923","-5.730398069680431","-5.730398069680431","-5.730398069680431","-7.803889793288559","-7.803889793288559","-7.803889793288559","-5.831974334875038","-5.831974334875038","-5.831974334875038","-6.412272131835178","-6.412272131835178","-6.412272131835178","-5.366705433078228","-5.366705433078228","-5.366705433078228","-6.713761342558629","-6.713761342558629","-6.713761342558629"
