"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.289918158716096","-13.289918158716096","-13.289918158716096","-9.86809681935419","-9.86809681935419","-9.86809681935419","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.119350314299728","-12.119350314299728","-12.119350314299728","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.296336818454884","-10.296336818454884","-10.296336818454884","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-33.51852272130153","-33.51852272130153","-33.51852272130153","-9.933624527881928","-9.933624527881928","-9.933624527881928","-15.883478501438324","-15.883478501438324","-15.883478501438324","-29.508780228707725","-29.508780228707725","-29.508780228707725","-10.584716701740444","-10.584716701740444","-10.584716701740444","-12.36369541153476","-12.36369541153476","-12.36369541153476","-23.19960141554531","-23.19960141554531","-23.19960141554531","-11.984142971448888","-11.984142971448888","-11.984142971448888","-15.479329640500373","-15.479329640500373","-15.479329640500373","-21.86131846108936","-21.86131846108936","-21.86131846108936","-8.879590125922558","-8.879590125922558","-8.879590125922558","-12.246245218964315","-12.246245218964315","-12.246245218964315","-9.579304154794377","-9.579304154794377","-9.579304154794377","-23.437356012585628","-23.437356012585628","-23.437356012585628","-17.130587088563175","-17.130587088563175","-17.130587088563175","-27.0778297251116","-27.0778297251116","-27.0778297251116","-9.166194526783874","-9.166194526783874","-9.166194526783874","-11.97143827577764","-11.97143827577764","-11.97143827577764","-10.887563386546036","-10.887563386546036","-10.887563386546036","-32.120524696513414","-32.120524696513414","-32.120524696513414"
"2000","-9.526104705459447","-9.526104705459447","-9.526104705459447","-27.880194650478337","-27.880194650478337","-27.880194650478337","-17.97580641247445","-17.97580641247445","-17.97580641247445","-14.380514424824108","-14.380514424824108","-14.380514424824108","-12.207866901538356","-12.207866901538356","-12.207866901538356","-13.275044873837405","-13.275044873837405","-13.275044873837405","-9.51431176057087","-9.51431176057087","-9.51431176057087","-9.92255257228461","-9.92255257228461","-9.92255257228461","-9.18987664431522","-9.18987664431522","-9.18987664431522","-30.33434935275634","-30.33434935275634","-30.33434935275634","-41.17152149191857","-41.17152149191857","-41.17152149191857","-8.573122625517192","-8.573122625517192","-8.573122625517192","-11.725734430484314","-11.725734430484314","-11.725734430484314","-9.555514742947887","-9.555514742947887","-9.555514742947887","-15.998453743819919","-15.998453743819919","-15.998453743819919","-12.553950873019751","-12.553950873019751","-12.553950873019751","-9.102932205547331","-9.102932205547331","-9.102932205547331","-11.961862661670413","-11.961862661670413","-11.961862661670413","-13.128003076707952","-13.128003076707952","-13.128003076707952","-11.624791213430564","-11.624791213430564","-11.624791213430564"
"2500","-6.039141170826122","-6.039141170826122","-6.039141170826122","-8.923685040404859","-8.923685040404859","-8.923685040404859","-15.733094964191645","-15.733094964191645","-15.733094964191645","-11.991163262217217","-11.991163262217217","-11.991163262217217","-5.941583641284856","-5.941583641284856","-5.941583641284856","-7.52854600056285","-7.52854600056285","-7.52854600056285","-7.305628221557811","-7.305628221557811","-7.305628221557811","-8.211892650858225","-8.211892650858225","-8.211892650858225","-11.123175787932599","-11.123175787932599","-11.123175787932599","-12.885532212741339","-12.885532212741339","-12.885532212741339","-17.316773606433816","-17.316773606433816","-17.316773606433816","-12.556852693958394","-12.556852693958394","-12.556852693958394","-6.39648518537385","-6.39648518537385","-6.39648518537385","-15.226889969999501","-15.226889969999501","-15.226889969999501","-12.96136445710116","-12.96136445710116","-12.96136445710116","-15.79986327006005","-15.79986327006005","-15.79986327006005","-7.777174193392256","-7.777174193392256","-7.777174193392256","-15.70840566424582","-15.70840566424582","-15.70840566424582","-8.398920401082124","-8.398920401082124","-8.398920401082124","-13.690357983916886","-13.690357983916886","-13.690357983916886"
"3000","-9.151927172837153","-9.151927172837153","-9.151927172837153","-7.435198795203249","-7.435198795203249","-7.435198795203249","-6.589485776228909","-6.589485776228909","-6.589485776228909","-10.084888642706897","-10.084888642706897","-10.084888642706897","-14.010822413560067","-14.010822413560067","-14.010822413560067","-6.458993725644673","-6.458993725644673","-6.458993725644673","-7.575116936934113","-7.575116936934113","-7.575116936934113","-8.276436054023076","-8.276436054023076","-8.276436054023076","-18.12861773493501","-18.12861773493501","-18.12861773493501","-17.781713150570425","-17.781713150570425","-17.781713150570425","-11.65322624207517","-11.65322624207517","-11.65322624207517","-12.311066390758004","-12.311066390758004","-12.311066390758004","-7.333876304563153","-7.333876304563153","-7.333876304563153","-11.138953883409542","-11.138953883409542","-11.138953883409542","-7.505424757296582","-7.505424757296582","-7.505424757296582","-7.141532595079101","-7.141532595079101","-7.141532595079101","-11.915603484801549","-11.915603484801549","-11.915603484801549","-18.200433770046924","-18.200433770046924","-18.200433770046924","-10.491350753812219","-10.491350753812219","-10.491350753812219","-17.40451606433079","-17.40451606433079","-17.40451606433079"
"3500","-9.773587254977183","-9.773587254977183","-9.773587254977183","-8.919678494182559","-8.919678494182559","-8.919678494182559","-8.756078740028027","-8.756078740028027","-8.756078740028027","-9.05034269437316","-9.05034269437316","-9.05034269437316","-8.558229314211374","-8.558229314211374","-8.558229314211374","-4.461525631487609","-4.461525631487609","-4.461525631487609","-8.814766990068804","-8.814766990068804","-8.814766990068804","-12.349675976420347","-12.349675976420347","-12.349675976420347","-9.638078691873977","-9.638078691873977","-9.638078691873977","-9.997187546702952","-9.997187546702952","-9.997187546702952","-8.438319020141972","-8.438319020141972","-8.438319020141972","-13.745245401008598","-13.745245401008598","-13.745245401008598","-4.970154436536748","-4.970154436536748","-4.970154436536748","-7.71863851206718","-7.71863851206718","-7.71863851206718","-6.8308799698107165","-6.8308799698107165","-6.8308799698107165","-18.65540144246761","-18.65540144246761","-18.65540144246761","-5.6488024409123785","-5.6488024409123785","-5.6488024409123785","-13.942260990167082","-13.942260990167082","-13.942260990167082","-7.787198867299229","-7.787198867299229","-7.787198867299229","-7.114398717624202","-7.114398717624202","-7.114398717624202"
"4000","-9.293187406614177","-9.293187406614177","-9.293187406614177","-7.58393125701866","-7.58393125701866","-7.58393125701866","-7.998359977597234","-7.998359977597234","-7.998359977597234","-12.881443975241108","-12.881443975241108","-12.881443975241108","-10.21730970690499","-10.21730970690499","-10.21730970690499","-6.200604973449946","-6.200604973449946","-6.200604973449946","-8.136255481364993","-8.136255481364993","-8.136255481364993","-8.969907274237002","-8.969907274237002","-8.969907274237002","-5.043335519779865","-5.043335519779865","-5.043335519779865","-5.562090573364807","-5.562090573364807","-5.562090573364807","-7.046162236458488","-7.046162236458488","-7.046162236458488","-7.716798311653579","-7.716798311653579","-7.716798311653579","-7.0694329810223495","-7.0694329810223495","-7.0694329810223495","-7.032542533046033","-7.032542533046033","-7.032542533046033","-7.994459155955999","-7.994459155955999","-7.994459155955999","-7.275684196718558","-7.275684196718558","-7.275684196718558","-6.442332886812347","-6.442332886812347","-6.442332886812347","-14.469199143108455","-14.469199143108455","-14.469199143108455","-6.642035078152567","-6.642035078152567","-6.642035078152567","-4.824748437811962","-4.824748437811962","-4.824748437811962"
"4500","-9.407266181673805","-9.407266181673805","-9.407266181673805","-7.1598557834895615","-7.1598557834895615","-7.1598557834895615","-10.420215129432965","-10.420215129432965","-10.420215129432965","-11.27540454069138","-11.27540454069138","-11.27540454069138","-9.014764146095223","-9.014764146095223","-9.014764146095223","-4.3747072550456565","-4.3747072550456565","-4.3747072550456565","-5.487418346389863","-5.487418346389863","-5.487418346389863","-13.847053790553502","-13.847053790553502","-13.847053790553502","-4.302628842623845","-4.302628842623845","-4.302628842623845","-8.723609708299827","-8.723609708299827","-8.723609708299827","-8.43813933211425","-8.43813933211425","-8.43813933211425","-5.760153718417906","-5.760153718417906","-5.760153718417906","-4.957095632352733","-4.957095632352733","-4.957095632352733","-14.604999924214122","-14.604999924214122","-14.604999924214122","-7.869855412193646","-7.869855412193646","-7.869855412193646","-7.096538735654102","-7.096538735654102","-7.096538735654102","-4.259549397161608","-4.259549397161608","-4.259549397161608","-31.88411038173239","-31.88411038173239","-31.88411038173239","-7.281517452550614","-7.281517452550614","-7.281517452550614","-5.198534056740059","-5.198534056740059","-5.198534056740059"
