"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.505544720442355","-13.505544720442355","-13.505544720442355","-9.641978790459557","-9.641978790459557","-9.641978790459557","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.183978412512975","-12.183978412512975","-12.183978412512975","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.775975259150298","-10.775975259150298","-10.775975259150298","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-11.111905842101327","-11.111905842101327","-11.111905842101327","-18.74203324894806","-18.74203324894806","-18.74203324894806","-45.652341225701946","-45.652341225701946","-45.652341225701946","-11.093936432869757","-11.093936432869757","-11.093936432869757","-9.418251576861039","-9.418251576861039","-9.418251576861039","-10.279524612539038","-10.279524612539038","-10.279524612539038","-7.475047035586965","-7.475047035586965","-7.475047035586965","-14.616799039770678","-14.616799039770678","-14.616799039770678","-16.094973604997495","-16.094973604997495","-16.094973604997495","-25.801176724189084","-25.801176724189084","-25.801176724189084","-15.078877969946893","-15.078877969946893","-15.078877969946893","-12.566161448253604","-12.566161448253604","-12.566161448253604","-21.10746954417675","-21.10746954417675","-21.10746954417675","-22.055285489681786","-22.055285489681786","-22.055285489681786","-13.415148239168772","-13.415148239168772","-13.415148239168772","-8.507526076726018","-8.507526076726018","-8.507526076726018","-29.156524840085886","-29.156524840085886","-29.156524840085886","-9.483641570147476","-9.483641570147476","-9.483641570147476","-9.041318092048108","-9.041318092048108","-9.041318092048108","-7.021613901134455","-7.021613901134455","-7.021613901134455"
"2000","-13.15724320237643","-13.15724320237643","-13.15724320237643","-14.74199233205008","-14.74199233205008","-14.74199233205008","-10.64643626345802","-10.64643626345802","-10.64643626345802","-11.96392538041392","-11.96392538041392","-11.96392538041392","-11.86605612128249","-11.86605612128249","-11.86605612128249","-8.461620974147769","-8.461620974147769","-8.461620974147769","-9.646377008357005","-9.646377008357005","-9.646377008357005","-7.381405774762365","-7.381405774762365","-7.381405774762365","-11.798284058722938","-11.798284058722938","-11.798284058722938","-8.541879993704258","-8.541879993704258","-8.541879993704258","-18.132646103623326","-18.132646103623326","-18.132646103623326","-8.76716607775824","-8.76716607775824","-8.76716607775824","-19.240846943381285","-19.240846943381285","-19.240846943381285","-20.702345673039996","-20.702345673039996","-20.702345673039996","-7.3839224540174815","-7.3839224540174815","-7.3839224540174815","-12.380300919770836","-12.380300919770836","-12.380300919770836","-21.700754933574736","-21.700754933574736","-21.700754933574736","-10.745967697354384","-10.745967697354384","-10.745967697354384","-13.798885961236778","-13.798885961236778","-13.798885961236778","-18.46925368516154","-18.46925368516154","-18.46925368516154"
"2500","-11.851808955315452","-11.851808955315452","-11.851808955315452","-7.013118607912719","-7.013118607912719","-7.013118607912719","-10.909327520300764","-10.909327520300764","-10.909327520300764","-8.765680542020808","-8.765680542020808","-8.765680542020808","-23.760764948310253","-23.760764948310253","-23.760764948310253","-6.701113924722497","-6.701113924722497","-6.701113924722497","-17.891402273631478","-17.891402273631478","-17.891402273631478","-8.081236145227084","-8.081236145227084","-8.081236145227084","-8.131065724952066","-8.131065724952066","-8.131065724952066","-12.071268655429309","-12.071268655429309","-12.071268655429309","-9.88024550842674","-9.88024550842674","-9.88024550842674","-6.229405294647038","-6.229405294647038","-6.229405294647038","-22.0680048180459","-22.0680048180459","-22.0680048180459","-17.42687642988876","-17.42687642988876","-17.42687642988876","-5.917413866085036","-5.917413866085036","-5.917413866085036","-8.884760665170528","-8.884760665170528","-8.884760665170528","-13.202106877018418","-13.202106877018418","-13.202106877018418","-10.846640405085447","-10.846640405085447","-10.846640405085447","-15.240057422493905","-15.240057422493905","-15.240057422493905","-6.981887063998775","-6.981887063998775","-6.981887063998775"
"3000","-33.953983086887426","-33.953983086887426","-33.953983086887426","-10.005256196830615","-10.005256196830615","-10.005256196830615","-12.699984248150297","-12.699984248150297","-12.699984248150297","-49.386605217916134","-49.386605217916134","-49.386605217916134","-14.109844529571202","-14.109844529571202","-14.109844529571202","-7.290553745574536","-7.290553745574536","-7.290553745574536","-10.07275405502389","-10.07275405502389","-10.07275405502389","-11.678336239954168","-11.678336239954168","-11.678336239954168","-5.4287149029257975","-5.4287149029257975","-5.4287149029257975","-10.683220448396892","-10.683220448396892","-10.683220448396892","-7.839479788580611","-7.839479788580611","-7.839479788580611","-38.485337082835656","-38.485337082835656","-38.485337082835656","-9.761316341877958","-9.761316341877958","-9.761316341877958","-9.114204355959718","-9.114204355959718","-9.114204355959718","-6.754972154528322","-6.754972154528322","-6.754972154528322","-8.50187885685163","-8.50187885685163","-8.50187885685163","-8.870296411231214","-8.870296411231214","-8.870296411231214","-7.43454128167725","-7.43454128167725","-7.43454128167725","-8.910856760771543","-8.910856760771543","-8.910856760771543","-5.234984592866228","-5.234984592866228","-5.234984592866228"
"3500","-33.926419396937646","-33.926419396937646","-33.926419396937646","-6.730406156200312","-6.730406156200312","-6.730406156200312","-8.950035449838976","-8.950035449838976","-8.950035449838976","-9.467457259984677","-9.467457259984677","-9.467457259984677","-11.984231561373047","-11.984231561373047","-11.984231561373047","-12.510373535140127","-12.510373535140127","-12.510373535140127","-8.405828632383491","-8.405828632383491","-8.405828632383491","-7.741444957501329","-7.741444957501329","-7.741444957501329","-8.100710738082567","-8.100710738082567","-8.100710738082567","-9.15848930115179","-9.15848930115179","-9.15848930115179","-9.869993058157036","-9.869993058157036","-9.869993058157036","-20.873232486870165","-20.873232486870165","-20.873232486870165","-11.645155686902497","-11.645155686902497","-11.645155686902497","-9.97886392563062","-9.97886392563062","-9.97886392563062","-6.573841182452087","-6.573841182452087","-6.573841182452087","-13.9279591414192","-13.9279591414192","-13.9279591414192","-7.512110064739747","-7.512110064739747","-7.512110064739747","-8.1229860270452","-8.1229860270452","-8.1229860270452","-8.272258257731469","-8.272258257731469","-8.272258257731469","-7.752361879481751","-7.752361879481751","-7.752361879481751"
"4000","-27.34706531479593","-27.34706531479593","-27.34706531479593","-6.214289551299504","-6.214289551299504","-6.214289551299504","-13.441070836927972","-13.441070836927972","-13.441070836927972","-9.38556590336015","-9.38556590336015","-9.38556590336015","-13.563090791128621","-13.563090791128621","-13.563090791128621","-14.863943494600221","-14.863943494600221","-14.863943494600221","-7.456091662732149","-7.456091662732149","-7.456091662732149","-5.9239755045682525","-5.9239755045682525","-5.9239755045682525","-5.141180270393695","-5.141180270393695","-5.141180270393695","-13.573779240091312","-13.573779240091312","-13.573779240091312","-8.47843349230365","-8.47843349230365","-8.47843349230365","-9.205031564725271","-9.205031564725271","-9.205031564725271","-8.625809835343272","-8.625809835343272","-8.625809835343272","-6.68659480748884","-6.68659480748884","-6.68659480748884","-6.664557626667401","-6.664557626667401","-6.664557626667401","-11.53105697160607","-11.53105697160607","-11.53105697160607","-9.431878020756155","-9.431878020756155","-9.431878020756155","-7.417373852577296","-7.417373852577296","-7.417373852577296","-14.09790222701505","-14.09790222701505","-14.09790222701505","-6.357871650446265","-6.357871650446265","-6.357871650446265"
"4500","-9.774682265409764","-9.774682265409764","-9.774682265409764","-6.706619356814818","-6.706619356814818","-6.706619356814818","-9.114613071725497","-9.114613071725497","-9.114613071725497","-8.659185841462406","-8.659185841462406","-8.659185841462406","-8.651975337759572","-8.651975337759572","-8.651975337759572","-7.588021569904667","-7.588021569904667","-7.588021569904667","-3.772232208092961","-3.772232208092961","-3.772232208092961","-7.198003796506899","-7.198003796506899","-7.198003796506899","-5.72507087430275","-5.72507087430275","-5.72507087430275","-6.711583831263994","-6.711583831263994","-6.711583831263994","-6.069859184604202","-6.069859184604202","-6.069859184604202","-5.796879402626475","-5.796879402626475","-5.796879402626475","-9.486050378871985","-9.486050378871985","-9.486050378871985","-7.6490733461569365","-7.6490733461569365","-7.6490733461569365","-10.318595517131998","-10.318595517131998","-10.318595517131998","-14.870795136455362","-14.870795136455362","-14.870795136455362","-6.695618388837966","-6.695618388837966","-6.695618388837966","-10.937912324855343","-10.937912324855343","-10.937912324855343","-7.7996174849277535","-7.7996174849277535","-7.7996174849277535","-5.950781171278477","-5.950781171278477","-5.950781171278477"
