"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-10.028345115074364","-10.028345115074364","-10.028345115074364","-7.677308667277098","-7.677308667277098","-7.677308667277098","-10.178754125744934","-10.178754125744934","-10.178754125744934","-9.174356112826182","-9.174356112826182","-9.174356112826182","-11.5906229888915","-11.5906229888915","-11.5906229888915","-9.13817969656974","-9.13817969656974","-9.13817969656974","-10.069762755647526","-10.069762755647526","-10.069762755647526","-12.399568915367293","-12.399568915367293","-12.399568915367293","-8.173691017796525","-8.173691017796525","-8.173691017796525","-8.013978625455406","-8.013978625455406","-8.013978625455406","-6.944288664552408","-6.944288664552408","-6.944288664552408","-8.628937253303393","-8.628937253303393","-8.628937253303393","-10.07541822367935","-10.07541822367935","-10.07541822367935","-10.484009720971068","-10.484009720971068","-10.484009720971068","-7.233039154290573","-7.233039154290573","-7.233039154290573","-9.774099428452626","-9.774099428452626","-9.774099428452626","-13.556354518668636","-13.556354518668636","-13.556354518668636","-11.512315894911307","-11.512315894911307","-11.512315894911307","-14.89514957268906","-14.89514957268906","-14.89514957268906","-9.64210962792043","-9.64210962792043","-9.64210962792043"
"500","-10.028345115074364","-10.028345115074364","-10.028345115074364","-7.677308667277098","-7.677308667277098","-7.677308667277098","-10.178754125744934","-10.178754125744934","-10.178754125744934","-9.174356112826182","-9.174356112826182","-9.174356112826182","-11.5906229888915","-11.5906229888915","-11.5906229888915","-9.13817969656974","-9.13817969656974","-9.13817969656974","-10.069762755647526","-10.069762755647526","-10.069762755647526","-12.399568915367293","-12.399568915367293","-12.399568915367293","-8.173691017796525","-8.173691017796525","-8.173691017796525","-8.013978625455406","-8.013978625455406","-8.013978625455406","-6.944288664552408","-6.944288664552408","-6.944288664552408","-8.628937253303393","-8.628937253303393","-8.628937253303393","-10.07541822367935","-10.07541822367935","-10.07541822367935","-10.484009720971068","-10.484009720971068","-10.484009720971068","-7.233039154290573","-7.233039154290573","-7.233039154290573","-9.774099428452626","-9.774099428452626","-9.774099428452626","-13.556354518668636","-13.556354518668636","-13.556354518668636","-11.512315894911307","-11.512315894911307","-11.512315894911307","-14.89514957268906","-14.89514957268906","-14.89514957268906","-9.64210962792043","-9.64210962792043","-9.64210962792043"
"1000","-11.610992135267434","-11.610992135267434","-11.610992135267434","-7.677308667277098","-7.677308667277098","-7.677308667277098","-9.651989231669138","-9.651989231669138","-9.651989231669138","-9.174356112826182","-9.174356112826182","-9.174356112826182","-11.5906229888915","-11.5906229888915","-11.5906229888915","-9.13817969656974","-9.13817969656974","-9.13817969656974","-10.069762755647526","-10.069762755647526","-10.069762755647526","-12.399568915367293","-12.399568915367293","-12.399568915367293","-8.173691017796525","-8.173691017796525","-8.173691017796525","-8.396340464336568","-8.396340464336568","-8.396340464336568","-6.944288664552408","-6.944288664552408","-6.944288664552408","-8.628937253303393","-8.628937253303393","-8.628937253303393","-10.07541822367935","-10.07541822367935","-10.07541822367935","-10.484009720971068","-10.484009720971068","-10.484009720971068","-7.233039154290573","-7.233039154290573","-7.233039154290573","-9.774099428452626","-9.774099428452626","-9.774099428452626","-10.62676427559238","-10.62676427559238","-10.62676427559238","-10.99508965036736","-10.99508965036736","-10.99508965036736","-14.89514957268906","-14.89514957268906","-14.89514957268906","-9.64210962792043","-9.64210962792043","-9.64210962792043"
"1500","-16.08279200173614","-16.08279200173614","-16.08279200173614","-11.472580744608242","-11.472580744608242","-11.472580744608242","-20.04801498398937","-20.04801498398937","-20.04801498398937","-21.332803112611497","-21.332803112611497","-21.332803112611497","-10.90978645401054","-10.90978645401054","-10.90978645401054","-16.130110518309333","-16.130110518309333","-16.130110518309333","-28.808374878997576","-28.808374878997576","-28.808374878997576","-11.852218500548364","-11.852218500548364","-11.852218500548364","-8.566529237171565","-8.566529237171565","-8.566529237171565","-21.552200001199473","-21.552200001199473","-21.552200001199473","-18.76910486962283","-18.76910486962283","-18.76910486962283","-22.37834661189222","-22.37834661189222","-22.37834661189222","-14.265377271741102","-14.265377271741102","-14.265377271741102","-10.772047630224158","-10.772047630224158","-10.772047630224158","-27.92089869712342","-27.92089869712342","-27.92089869712342","-16.561728354130906","-16.561728354130906","-16.561728354130906","-16.289146792147942","-16.289146792147942","-16.289146792147942","-12.268201420681242","-12.268201420681242","-12.268201420681242","-10.750775066003994","-10.750775066003994","-10.750775066003994","-22.623713650705675","-22.623713650705675","-22.623713650705675"
"2000","-9.998946020686626","-9.998946020686626","-9.998946020686626","-8.034497014452032","-8.034497014452032","-8.034497014452032","-9.168497714577468","-9.168497714577468","-9.168497714577468","-7.516644499189221","-7.516644499189221","-7.516644499189221","-9.081722513197604","-9.081722513197604","-9.081722513197604","-7.771315794956303","-7.771315794956303","-7.771315794956303","-8.85862292452492","-8.85862292452492","-8.85862292452492","-29.78302012182126","-29.78302012182126","-29.78302012182126","-10.829206033145057","-10.829206033145057","-10.829206033145057","-13.54373696006781","-13.54373696006781","-13.54373696006781","-11.201626717221977","-11.201626717221977","-11.201626717221977","-15.033341916430114","-15.033341916430114","-15.033341916430114","-20.208617271240218","-20.208617271240218","-20.208617271240218","-37.888953689582834","-37.888953689582834","-37.888953689582834","-10.341121875871249","-10.341121875871249","-10.341121875871249","-11.28566732651932","-11.28566732651932","-11.28566732651932","-22.098691423322233","-22.098691423322233","-22.098691423322233","-7.480738801615443","-7.480738801615443","-7.480738801615443","-19.06757939440302","-19.06757939440302","-19.06757939440302","-24.093426777768702","-24.093426777768702","-24.093426777768702"
"2500","-11.642871160938336","-11.642871160938336","-11.642871160938336","-9.136429262126033","-9.136429262126033","-9.136429262126033","-7.6906053789245075","-7.6906053789245075","-7.6906053789245075","-7.885654861907327","-7.885654861907327","-7.885654861907327","-8.652958269043385","-8.652958269043385","-8.652958269043385","-21.57181617476984","-21.57181617476984","-21.57181617476984","-8.774333539474501","-8.774333539474501","-8.774333539474501","-31.124515153721358","-31.124515153721358","-31.124515153721358","-5.594354404891491","-5.594354404891491","-5.594354404891491","-7.804935892630797","-7.804935892630797","-7.804935892630797","-5.017463791778966","-5.017463791778966","-5.017463791778966","-8.318101575111738","-8.318101575111738","-8.318101575111738","-9.22601952912367","-9.22601952912367","-9.22601952912367","-17.78692482881111","-17.78692482881111","-17.78692482881111","-7.677574121827119","-7.677574121827119","-7.677574121827119","-11.205390558493828","-11.205390558493828","-11.205390558493828","-12.301112473103618","-12.301112473103618","-12.301112473103618","-8.0230777394425","-8.0230777394425","-8.0230777394425","-14.567303880787202","-14.567303880787202","-14.567303880787202","-35.32538492849291","-35.32538492849291","-35.32538492849291"
"3000","-6.712557127014401","-6.712557127014401","-6.712557127014401","-6.473234682587337","-6.473234682587337","-6.473234682587337","-14.227813810699672","-14.227813810699672","-14.227813810699672","-7.6923311330205575","-7.6923311330205575","-7.6923311330205575","-5.0887017070449225","-5.0887017070449225","-5.0887017070449225","-7.516621583273237","-7.516621583273237","-7.516621583273237","-8.84020490775065","-8.84020490775065","-8.84020490775065","-11.617008243323358","-11.617008243323358","-11.617008243323358","-10.54364188799599","-10.54364188799599","-10.54364188799599","-9.677233030337591","-9.677233030337591","-9.677233030337591","-7.001817972899556","-7.001817972899556","-7.001817972899556","-5.779713198187448","-5.779713198187448","-5.779713198187448","-20.255577337811292","-20.255577337811292","-20.255577337811292","-22.0272689828685","-22.0272689828685","-22.0272689828685","-7.718820693386981","-7.718820693386981","-7.718820693386981","-21.496263962315396","-21.496263962315396","-21.496263962315396","-28.142784746741246","-28.142784746741246","-28.142784746741246","-13.46912774516846","-13.46912774516846","-13.46912774516846","-10.03410756055712","-10.03410756055712","-10.03410756055712","-9.459959021699055","-9.459959021699055","-9.459959021699055"
"3500","-14.00020071975718","-14.00020071975718","-14.00020071975718","-5.830387894416363","-5.830387894416363","-5.830387894416363","-11.584044174565765","-11.584044174565765","-11.584044174565765","-7.022433439023385","-7.022433439023385","-7.022433439023385","-8.275546272289363","-8.275546272289363","-8.275546272289363","-13.851259312515134","-13.851259312515134","-13.851259312515134","-6.200611077047774","-6.200611077047774","-6.200611077047774","-10.06956076583939","-10.06956076583939","-10.06956076583939","-14.906397956322376","-14.906397956322376","-14.906397956322376","-6.660956147400453","-6.660956147400453","-6.660956147400453","-8.05191175553082","-8.05191175553082","-8.05191175553082","-4.994962629162453","-4.994962629162453","-4.994962629162453","-9.630446589174841","-9.630446589174841","-9.630446589174841","-11.031956895266783","-11.031956895266783","-11.031956895266783","-7.622912898538843","-7.622912898538843","-7.622912898538843","-12.299510545782711","-12.299510545782711","-12.299510545782711","-7.0304283393643034","-7.0304283393643034","-7.0304283393643034","-12.247351739615706","-12.247351739615706","-12.247351739615706","-7.768378284154133","-7.768378284154133","-7.768378284154133","-8.32157412602703","-8.32157412602703","-8.32157412602703"
"4000","-15.159424022728654","-15.159424022728654","-15.159424022728654","-5.5702075841000696","-5.5702075841000696","-5.5702075841000696","-12.204252781284117","-12.204252781284117","-12.204252781284117","-5.909055616132128","-5.909055616132128","-5.909055616132128","-8.075594706992309","-8.075594706992309","-8.075594706992309","-10.81815649294464","-10.81815649294464","-10.81815649294464","-5.222981999890918","-5.222981999890918","-5.222981999890918","-8.663781299095236","-8.663781299095236","-8.663781299095236","-9.424462811856976","-9.424462811856976","-9.424462811856976","-7.950161605782784","-7.950161605782784","-7.950161605782784","-3.8130113636401597","-3.8130113636401597","-3.8130113636401597","-4.846509702573817","-4.846509702573817","-4.846509702573817","-9.89568279810354","-9.89568279810354","-9.89568279810354","-7.216662580780097","-7.216662580780097","-7.216662580780097","-14.409726040796333","-14.409726040796333","-14.409726040796333","-19.401249843416508","-19.401249843416508","-19.401249843416508","-5.773125214549426","-5.773125214549426","-5.773125214549426","-12.69253896988458","-12.69253896988458","-12.69253896988458","-10.405187368586038","-10.405187368586038","-10.405187368586038","-9.134253656721015","-9.134253656721015","-9.134253656721015"
"4500","-6.953687025268692","-6.953687025268692","-6.953687025268692","-6.788881505398761","-6.788881505398761","-6.788881505398761","-6.630026250916595","-6.630026250916595","-6.630026250916595","-4.26498158404016","-4.26498158404016","-4.26498158404016","-5.707330429002214","-5.707330429002214","-5.707330429002214","-6.3351057315350525","-6.3351057315350525","-6.3351057315350525","-5.986537336490392","-5.986537336490392","-5.986537336490392","-5.002535472984768","-5.002535472984768","-5.002535472984768","-16.709898220033022","-16.709898220033022","-16.709898220033022","-9.127618583801896","-9.127618583801896","-9.127618583801896","-4.473795089678877","-4.473795089678877","-4.473795089678877","-12.294585108942638","-12.294585108942638","-12.294585108942638","-7.75533386793015","-7.75533386793015","-7.75533386793015","-19.878569584518225","-19.878569584518225","-19.878569584518225","-9.296515297876073","-9.296515297876073","-9.296515297876073","-17.05111888421126","-17.05111888421126","-17.05111888421126","-6.180929577484972","-6.180929577484972","-6.180929577484972","-5.739039373413783","-5.739039373413783","-5.739039373413783","-12.610245739733392","-12.610245739733392","-12.610245739733392","-9.953401977701409","-9.953401977701409","-9.953401977701409"
