"Step","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.165245272046576","-13.165245272046576","-13.165245272046576","-9.673760613775213","-9.673760613775213","-9.673760613775213","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.117545081469265","-12.117545081469265","-12.117545081469265","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.69206505250595","-10.69206505250595","-10.69206505250595","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-21.163874300234525","-21.163874300234525","-21.163874300234525","-7.372995905860989","-7.372995905860989","-7.372995905860989","-16.5901285660694","-16.5901285660694","-16.5901285660694","-8.8434719263449","-8.8434719263449","-8.8434719263449","-9.814431984838047","-9.814431984838047","-9.814431984838047","-7.2834326630753","-7.2834326630753","-7.2834326630753","-27.057657574400075","-27.057657574400075","-27.057657574400075","-16.98230589896039","-16.98230589896039","-16.98230589896039","-18.377833735420424","-18.377833735420424","-18.377833735420424","-36.310681484005435","-36.310681484005435","-36.310681484005435","-22.947398094383413","-22.947398094383413","-22.947398094383413","-7.9841727521172645","-7.9841727521172645","-7.9841727521172645","-17.363068962495962","-17.363068962495962","-17.363068962495962","-13.320323715845083","-13.320323715845083","-13.320323715845083","-14.87208694692372","-14.87208694692372","-14.87208694692372","-33.420282969598745","-33.420282969598745","-33.420282969598745","-18.89451872945896","-18.89451872945896","-18.89451872945896","-20.21056637877615","-20.21056637877615","-20.21056637877615","-23.462422644799233","-23.462422644799233","-23.462422644799233","-12.69561742013768","-12.69561742013768","-12.69561742013768"
"2000","-10.70806461046676","-10.70806461046676","-10.70806461046676","-15.7003716617774","-15.7003716617774","-15.7003716617774","-13.619258263247488","-13.619258263247488","-13.619258263247488","-10.003161735348632","-10.003161735348632","-10.003161735348632","-15.251494640639502","-15.251494640639502","-15.251494640639502","-9.193750764464692","-9.193750764464692","-9.193750764464692","-27.079064962048893","-27.079064962048893","-27.079064962048893","-8.001310797673671","-8.001310797673671","-8.001310797673671","-22.926073901664168","-22.926073901664168","-22.926073901664168","-9.644869456418558","-9.644869456418558","-9.644869456418558","-20.54887487262203","-20.54887487262203","-20.54887487262203","-22.534043760845943","-22.534043760845943","-22.534043760845943","-7.637839854635102","-7.637839854635102","-7.637839854635102","-14.051813146756459","-14.051813146756459","-14.051813146756459","-10.72605816365404","-10.72605816365404","-10.72605816365404","-48.90899340477581","-48.90899340477581","-48.90899340477581","-7.647186790970286","-7.647186790970286","-7.647186790970286","-16.28730936414118","-16.28730936414118","-16.28730936414118","-16.41311206619143","-16.41311206619143","-16.41311206619143","-6.399318914766235","-6.399318914766235","-6.399318914766235"
"2500","-11.894074567681841","-11.894074567681841","-11.894074567681841","-13.229356333048056","-13.229356333048056","-13.229356333048056","-17.420379374630876","-17.420379374630876","-17.420379374630876","-11.64377739124934","-11.64377739124934","-11.64377739124934","-5.099818386891383","-5.099818386891383","-5.099818386891383","-5.45802059591436","-5.45802059591436","-5.45802059591436","-35.76488818575514","-35.76488818575514","-35.76488818575514","-10.033430089564948","-10.033430089564948","-10.033430089564948","-11.87502602470109","-11.87502602470109","-11.87502602470109","-5.56104202283546","-5.56104202283546","-5.56104202283546","-8.990008218723663","-8.990008218723663","-8.990008218723663","-13.079711287610417","-13.079711287610417","-13.079711287610417","-7.236415631463098","-7.236415631463098","-7.236415631463098","-24.168715426083235","-24.168715426083235","-24.168715426083235","-12.745577189527733","-12.745577189527733","-12.745577189527733","-9.650306074008173","-9.650306074008173","-9.650306074008173","-8.031055606421734","-8.031055606421734","-8.031055606421734","-9.44281487715325","-9.44281487715325","-9.44281487715325","-9.251618325407076","-9.251618325407076","-9.251618325407076","-6.336703701720926","-6.336703701720926","-6.336703701720926"
"3000","-7.018735876231806","-7.018735876231806","-7.018735876231806","-13.935457621030498","-13.935457621030498","-13.935457621030498","-12.247547106882326","-12.247547106882326","-12.247547106882326","-27.41302652025208","-27.41302652025208","-27.41302652025208","-7.068343175427306","-7.068343175427306","-7.068343175427306","-5.410477544005512","-5.410477544005512","-5.410477544005512","-9.086696828672851","-9.086696828672851","-9.086696828672851","-9.101561487678056","-9.101561487678056","-9.101561487678056","-11.723128382042441","-11.723128382042441","-11.723128382042441","-7.111719632367469","-7.111719632367469","-7.111719632367469","-6.275094915117401","-6.275094915117401","-6.275094915117401","-15.272376812367991","-15.272376812367991","-15.272376812367991","-24.267839859511355","-24.267839859511355","-24.267839859511355","-11.300975735732653","-11.300975735732653","-11.300975735732653","-9.310865903530123","-9.310865903530123","-9.310865903530123","-10.483345471396076","-10.483345471396076","-10.483345471396076","-7.670366589246757","-7.670366589246757","-7.670366589246757","-8.79837545304233","-8.79837545304233","-8.79837545304233","-9.169227679038837","-9.169227679038837","-9.169227679038837","-5.4178123844245425","-5.4178123844245425","-5.4178123844245425"
"3500","-9.187216174139774","-9.187216174139774","-9.187216174139774","-6.609352754723486","-6.609352754723486","-6.609352754723486","-11.696248025644717","-11.696248025644717","-11.696248025644717","-13.612246119650228","-13.612246119650228","-13.612246119650228","-10.572159324451835","-10.572159324451835","-10.572159324451835","-5.61041510275288","-5.61041510275288","-5.61041510275288","-7.442420668675354","-7.442420668675354","-7.442420668675354","-8.60700455827283","-8.60700455827283","-8.60700455827283","-9.25480152380257","-9.25480152380257","-9.25480152380257","-4.632303326009934","-4.632303326009934","-4.632303326009934","-5.7271290115924804","-5.7271290115924804","-5.7271290115924804","-7.656605287143383","-7.656605287143383","-7.656605287143383","-22.707605993682506","-22.707605993682506","-22.707605993682506","-8.970475000065129","-8.970475000065129","-8.970475000065129","-12.857685951688058","-12.857685951688058","-12.857685951688058","-13.51318504429428","-13.51318504429428","-13.51318504429428","-5.873258246697022","-5.873258246697022","-5.873258246697022","-8.33118095261628","-8.33118095261628","-8.33118095261628","-9.880153927684997","-9.880153927684997","-9.880153927684997","-6.013822767685296","-6.013822767685296","-6.013822767685296"
"4000","-6.216339560330869","-6.216339560330869","-6.216339560330869","-8.07064435896803","-8.07064435896803","-8.07064435896803","-12.372733538346877","-12.372733538346877","-12.372733538346877","-10.583716186344768","-10.583716186344768","-10.583716186344768","-8.541110400575793","-8.541110400575793","-8.541110400575793","-6.188732924037109","-6.188732924037109","-6.188732924037109","-15.564836173827292","-15.564836173827292","-15.564836173827292","-6.5318796685091955","-6.5318796685091955","-6.5318796685091955","-10.228868034688741","-10.228868034688741","-10.228868034688741","-9.331963572051645","-9.331963572051645","-9.331963572051645","-6.279423879664928","-6.279423879664928","-6.279423879664928","-5.6051679676129424","-5.6051679676129424","-5.6051679676129424","-13.674432272590366","-13.674432272590366","-13.674432272590366","-7.913367545634053","-7.913367545634053","-7.913367545634053","-9.409978229437737","-9.409978229437737","-9.409978229437737","-5.862072324014283","-5.862072324014283","-5.862072324014283","-5.175755818757935","-5.175755818757935","-5.175755818757935","-7.405721019039132","-7.405721019039132","-7.405721019039132","-6.874877588717844","-6.874877588717844","-6.874877588717844","-6.021237339152422","-6.021237339152422","-6.021237339152422"
"4500","-29.89591535437321","-29.89591535437321","-29.89591535437321","-6.626734282752272","-6.626734282752272","-6.626734282752272","-11.10067500898754","-11.10067500898754","-11.10067500898754","-11.114973672653486","-11.114973672653486","-11.114973672653486","-9.155487234775952","-9.155487234775952","-9.155487234775952","-6.161177565424474","-6.161177565424474","-6.161177565424474","-6.867446210525623","-6.867446210525623","-6.867446210525623","-5.539949758044591","-5.539949758044591","-5.539949758044591","-8.802758770846504","-8.802758770846504","-8.802758770846504","-13.74222833335088","-13.74222833335088","-13.74222833335088","-6.569304170290505","-6.569304170290505","-6.569304170290505","-5.560976129709384","-5.560976129709384","-5.560976129709384","-10.925743212947848","-10.925743212947848","-10.925743212947848","-6.283549459638793","-6.283549459638793","-6.283549459638793","-6.453184871142416","-6.453184871142416","-6.453184871142416","-4.629822371752693","-4.629822371752693","-4.629822371752693","-5.678762886710812","-5.678762886710812","-5.678762886710812","-3.8048971517996732","-3.8048971517996732","-3.8048971517996732","-8.741680225615232","-8.741680225615232","-8.741680225615232","-44.47245122507354","-44.47245122507354","-44.47245122507354"
