"Step","DDPG_TAAC_FetchReachDense-v4_9 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_19 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_8 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_18 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_7 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_17 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_6 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_16 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_5 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_15 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_4 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_14 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_3 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_13 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_2 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_12 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_1 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_11 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_0 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_0 - eval/avg_reward__MAX","DDPG_TAAC_FetchReachDense-v4_10 - eval/avg_reward","DDPG_TAAC_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_TAAC_FetchReachDense-v4_10 - eval/avg_reward__MAX"
"0","-7.079415166564831","-7.079415166564831","-7.079415166564831","-7.3573333723450745","-7.3573333723450745","-7.3573333723450745","-9.263934007758657","-9.263934007758657","-9.263934007758657","-8.300397883137189","-8.300397883137189","-8.300397883137189","-7.027305449769662","-7.027305449769662","-7.027305449769662","-12.40402221936446","-12.40402221936446","-12.40402221936446","-12.231802213308367","-12.231802213308367","-12.231802213308367","-9.577664788960755","-9.577664788960755","-9.577664788960755","-11.889397223691416","-11.889397223691416","-11.889397223691416","-5.867704069499503","-5.867704069499503","-5.867704069499503","-6.874300192925266","-6.874300192925266","-6.874300192925266","-8.512187541421948","-8.512187541421948","-8.512187541421948","-8.431523143078612","-8.431523143078612","-8.431523143078612","-9.364947176930297","-9.364947176930297","-9.364947176930297","-9.165499184500623","-9.165499184500623","-9.165499184500623","-8.898420018511409","-8.898420018511409","-8.898420018511409","-10.105068757607674","-10.105068757607674","-10.105068757607674","-9.41116841298439","-9.41116841298439","-9.41116841298439","-8.626653234374066","-8.626653234374066","-8.626653234374066","-12.872923168582451","-12.872923168582451","-12.872923168582451"
"500","-7.079415166564831","-7.079415166564831","-7.079415166564831","-7.3573333723450745","-7.3573333723450745","-7.3573333723450745","-9.263934007758657","-9.263934007758657","-9.263934007758657","-8.300397883137189","-8.300397883137189","-8.300397883137189","-7.027305449769662","-7.027305449769662","-7.027305449769662","-12.40402221936446","-12.40402221936446","-12.40402221936446","-12.231802213308367","-12.231802213308367","-12.231802213308367","-9.577664788960755","-9.577664788960755","-9.577664788960755","-11.889397223691416","-11.889397223691416","-11.889397223691416","-5.867704069499503","-5.867704069499503","-5.867704069499503","-6.874300192925266","-6.874300192925266","-6.874300192925266","-8.512187541421948","-8.512187541421948","-8.512187541421948","-8.431523143078612","-8.431523143078612","-8.431523143078612","-9.364947176930297","-9.364947176930297","-9.364947176930297","-9.165499184500623","-9.165499184500623","-9.165499184500623","-8.898420018511409","-8.898420018511409","-8.898420018511409","-10.105068757607674","-10.105068757607674","-10.105068757607674","-9.41116841298439","-9.41116841298439","-9.41116841298439","-8.626653234374066","-8.626653234374066","-8.626653234374066","-12.872923168582451","-12.872923168582451","-12.872923168582451"
"1000","-8.150053679686895","-8.150053679686895","-8.150053679686895","-6.843578208907786","-6.843578208907786","-6.843578208907786","-10.534213898020642","-10.534213898020642","-10.534213898020642","-8.545298594125013","-8.545298594125013","-8.545298594125013","-7.50834838625825","-7.50834838625825","-7.50834838625825","-13.517932064737078","-13.517932064737078","-13.517932064737078","-11.479106223871096","-11.479106223871096","-11.479106223871096","-9.331503944211118","-9.331503944211118","-9.331503944211118","-12.70618278089996","-12.70618278089996","-12.70618278089996","-7.542870306019493","-7.542870306019493","-7.542870306019493","-7.650713983003773","-7.650713983003773","-7.650713983003773","-8.206846755242514","-8.206846755242514","-8.206846755242514","-7.62343500963928","-7.62343500963928","-7.62343500963928","-7.789849174879166","-7.789849174879166","-7.789849174879166","-9.264644754554372","-9.264644754554372","-9.264644754554372","-10.362982591719412","-10.362982591719412","-10.362982591719412","-11.226584762393259","-11.226584762393259","-11.226584762393259","-8.498384504877002","-8.498384504877002","-8.498384504877002","-8.348793253604333","-8.348793253604333","-8.348793253604333","-12.446689169479843","-12.446689169479843","-12.446689169479843"
"1500","-29.798442226770863","-29.798442226770863","-29.798442226770863","-10.73106527395542","-10.73106527395542","-10.73106527395542","-15.501562302201645","-15.501562302201645","-15.501562302201645","-32.955564698995225","-32.955564698995225","-32.955564698995225","-9.534277164370925","-9.534277164370925","-9.534277164370925","-42.595824385302635","-42.595824385302635","-42.595824385302635","-41.04407606068297","-41.04407606068297","-41.04407606068297","-36.92321897765309","-36.92321897765309","-36.92321897765309","-15.440596381865692","-15.440596381865692","-15.440596381865692","-50.22891803790727","-50.22891803790727","-50.22891803790727","-12.680974398822622","-12.680974398822622","-12.680974398822622","-10.227562366820042","-10.227562366820042","-10.227562366820042","-14.135299807442546","-14.135299807442546","-14.135299807442546","-38.446274764699716","-38.446274764699716","-38.446274764699716","-9.580376901149743","-9.580376901149743","-9.580376901149743","-28.32173062982047","-28.32173062982047","-28.32173062982047","-17.83291947514008","-17.83291947514008","-17.83291947514008","-35.19948874438383","-35.19948874438383","-35.19948874438383","-10.289757465097978","-10.289757465097978","-10.289757465097978","-12.527717607912061","-12.527717607912061","-12.527717607912061"
"2000","-21.213027495715558","-21.213027495715558","-21.213027495715558","-10.357401291589495","-10.357401291589495","-10.357401291589495","-11.719750625872845","-11.719750625872845","-11.719750625872845","-13.982794796789438","-13.982794796789438","-13.982794796789438","-9.147772069190527","-9.147772069190527","-9.147772069190527","-11.86138197702688","-11.86138197702688","-11.86138197702688","-14.60562434879301","-14.60562434879301","-14.60562434879301","-36.93582438941171","-36.93582438941171","-36.93582438941171","-11.52047995448121","-11.52047995448121","-11.52047995448121","-10.463062973644446","-10.463062973644446","-10.463062973644446","-14.591192620292247","-14.591192620292247","-14.591192620292247","-7.439658182150531","-7.439658182150531","-7.439658182150531","-19.09448596173818","-19.09448596173818","-19.09448596173818","-38.44598432086495","-38.44598432086495","-38.44598432086495","-12.8578119146237","-12.8578119146237","-12.8578119146237","-9.517727481860032","-9.517727481860032","-9.517727481860032","-16.200548350099275","-16.200548350099275","-16.200548350099275","-38.16234425350676","-38.16234425350676","-38.16234425350676","-13.699633458859598","-13.699633458859598","-13.699633458859598","-9.074633085825063","-9.074633085825063","-9.074633085825063"
"2500","-12.071091687844813","-12.071091687844813","-12.071091687844813","-5.687558399135346","-5.687558399135346","-5.687558399135346","-5.074717663562687","-5.074717663562687","-5.074717663562687","-7.807308859730678","-7.807308859730678","-7.807308859730678","-11.528829152513964","-11.528829152513964","-11.528829152513964","-10.656584127249772","-10.656584127249772","-10.656584127249772","-12.128623666783188","-12.128623666783188","-12.128623666783188","-36.935821941701626","-36.935821941701626","-36.935821941701626","-29.2243884623605","-29.2243884623605","-29.2243884623605","-9.788139190235164","-9.788139190235164","-9.788139190235164","-7.334910901085678","-7.334910901085678","-7.334910901085678","-5.9096627977943665","-5.9096627977943665","-5.9096627977943665","-10.53544189575378","-10.53544189575378","-10.53544189575378","-38.44669810543233","-38.44669810543233","-38.44669810543233","-5.667748478391158","-5.667748478391158","-5.667748478391158","-8.329092875302605","-8.329092875302605","-8.329092875302605","-7.518467878992384","-7.518467878992384","-7.518467878992384","-38.162424201849774","-38.162424201849774","-38.162424201849774","-13.94803388235124","-13.94803388235124","-13.94803388235124","-7.598318703256046","-7.598318703256046","-7.598318703256046"
"3000","-6.399329064630673","-6.399329064630673","-6.399329064630673","-4.331060134905336","-4.331060134905336","-4.331060134905336","-6.6331210696529626","-6.6331210696529626","-6.6331210696529626","-9.45251086596866","-9.45251086596866","-9.45251086596866","-18.358126336934088","-18.358126336934088","-18.358126336934088","-13.008159267632141","-13.008159267632141","-13.008159267632141","-8.992658525547771","-8.992658525547771","-8.992658525547771","-36.93581956352058","-36.93581956352058","-36.93581956352058","-8.51968956832149","-8.51968956832149","-8.51968956832149","-10.223759608547388","-10.223759608547388","-10.223759608547388","-6.666967101457962","-6.666967101457962","-6.666967101457962","-17.948917843588884","-17.948917843588884","-17.948917843588884","-6.263392615434201","-6.263392615434201","-6.263392615434201","-39.44525193749713","-39.44525193749713","-39.44525193749713","-7.885035538351319","-7.885035538351319","-7.885035538351319","-8.412408743468044","-8.412408743468044","-8.412408743468044","-7.426317083995537","-7.426317083995537","-7.426317083995537","-38.16243918836845","-38.16243918836845","-38.16243918836845","-10.95601475386483","-10.95601475386483","-10.95601475386483","-7.627005096850214","-7.627005096850214","-7.627005096850214"
"3500","-5.64981616980273","-5.64981616980273","-5.64981616980273","-5.700836319028054","-5.700836319028054","-5.700836319028054","-4.708721365227332","-4.708721365227332","-4.708721365227332","-9.414741142121365","-9.414741142121365","-9.414741142121365","-17.36874357469663","-17.36874357469663","-17.36874357469663","-21.326012420146412","-21.326012420146412","-21.326012420146412","-9.512414236585428","-9.512414236585428","-9.512414236585428","-36.935838809687134","-36.935838809687134","-36.935838809687134","-8.180241742382725","-8.180241742382725","-8.180241742382725","-5.384894129288844","-5.384894129288844","-5.384894129288844","-4.055694246240199","-4.055694246240199","-4.055694246240199","-11.365104764838119","-11.365104764838119","-11.365104764838119","-6.176428408662349","-6.176428408662349","-6.176428408662349","-39.445251889422956","-39.445251889422956","-39.445251889422956","-7.607815018214488","-7.607815018214488","-7.607815018214488","-4.708727701605691","-4.708727701605691","-4.708727701605691","-5.884523773175996","-5.884523773175996","-5.884523773175996","-38.16243769570107","-38.16243769570107","-38.16243769570107","-8.319440705652946","-8.319440705652946","-8.319440705652946","-11.80113230840254","-11.80113230840254","-11.80113230840254"
"4000","-4.91905003817072","-4.91905003817072","-4.91905003817072","-5.934066878135918","-5.934066878135918","-5.934066878135918","-3.831902557692201","-3.831902557692201","-3.831902557692201","-9.821992873772093","-9.821992873772093","-9.821992873772093","-7.790577192173011","-7.790577192173011","-7.790577192173011","-11.179877908895097","-11.179877908895097","-11.179877908895097","-5.248730633825431","-5.248730633825431","-5.248730633825431","-49.44349516416394","-49.44349516416394","-49.44349516416394","-6.228158155815141","-6.228158155815141","-6.228158155815141","-5.3150094057466815","-5.3150094057466815","-5.3150094057466815","-4.946737606714885","-4.946737606714885","-4.946737606714885","-4.8125878100225625","-4.8125878100225625","-4.8125878100225625","-5.7926796099703735","-5.7926796099703735","-5.7926796099703735","-39.445251145158636","-39.445251145158636","-39.445251145158636","-17.021099061105037","-17.021099061105037","-17.021099061105037","-8.651530003733281","-8.651530003733281","-8.651530003733281","-3.7005281077861403","-3.7005281077861403","-3.7005281077861403","-38.162437821332226","-38.162437821332226","-38.162437821332226","-4.243949645662373","-4.243949645662373","-4.243949645662373","-8.840894933192263","-8.840894933192263","-8.840894933192263"
"4500","-4.689878558674302","-4.689878558674302","-4.689878558674302","-4.48058167331614","-4.48058167331614","-4.48058167331614","-4.007232062393088","-4.007232062393088","-4.007232062393088","-5.209187327885118","-5.209187327885118","-5.209187327885118","-4.378930508225575","-4.378930508225575","-4.378930508225575","-6.62614085326725","-6.62614085326725","-6.62614085326725","-5.79142260831441","-5.79142260831441","-5.79142260831441","-20.340670450282115","-20.340670450282115","-20.340670450282115","-8.555913111431675","-8.555913111431675","-8.555913111431675","-4.787865925999312","-4.787865925999312","-4.787865925999312","-3.025973939603602","-3.025973939603602","-3.025973939603602","-3.8377913309937974","-3.8377913309937974","-3.8377913309937974","-5.798483117737649","-5.798483117737649","-5.798483117737649","-39.44525164973579","-39.44525164973579","-39.44525164973579","-7.765092459546471","-7.765092459546471","-7.765092459546471","-3.7116671911304273","-3.7116671911304273","-3.7116671911304273","-3.605928204860811","-3.605928204860811","-3.605928204860811","-38.162435835775604","-38.162435835775604","-38.162435835775604","-5.051604214647096","-5.051604214647096","-5.051604214647096","-5.088613760814228","-5.088613760814228","-5.088613760814228"
