"Step","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_TempoRL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"500","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-11.597058018911019","-11.597058018911019","-11.597058018911019","-10.071171992594072","-10.071171992594072","-10.071171992594072","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-10.07541822367935","-10.07541822367935","-10.07541822367935","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.51415108380978","-11.51415108380978","-11.51415108380978","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1000","-9.998621109771939","-9.998621109771939","-9.998621109771939","-10.161423808351515","-10.161423808351515","-10.161423808351515","-13.37661709780584","-13.37661709780584","-13.37661709780584","-10.13268646359496","-10.13268646359496","-10.13268646359496","-8.173691017796525","-8.173691017796525","-8.173691017796525","-6.93500112096396","-6.93500112096396","-6.93500112096396","-12.208334783074855","-12.208334783074855","-12.208334783074855","-7.22933914428949","-7.22933914428949","-7.22933914428949","-13.557300651531074","-13.557300651531074","-13.557300651531074","-14.909256102851089","-14.909256102851089","-14.909256102851089","-7.671810886359692","-7.671810886359692","-7.671810886359692","-9.139160234667552","-9.139160234667552","-9.139160234667552","-9.137211679887539","-9.137211679887539","-9.137211679887539","-12.403093904713952","-12.403093904713952","-12.403093904713952","-8.001051337587187","-8.001051337587187","-8.001051337587187","-8.631314585276273","-8.631314585276273","-8.631314585276273","-10.465739808313748","-10.465739808313748","-10.465739808313748","-9.796524533825387","-9.796524533825387","-9.796524533825387","-10.376256808130641","-10.376256808130641","-10.376256808130641","-9.652403841391166","-9.652403841391166","-9.652403841391166"
"1500","-9.732517412816806","-9.732517412816806","-9.732517412816806","-26.475053037917313","-26.475053037917313","-26.475053037917313","-10.378295395811444","-10.378295395811444","-10.378295395811444","-16.876043342772537","-16.876043342772537","-16.876043342772537","-12.03708324491112","-12.03708324491112","-12.03708324491112","-9.485104929176968","-9.485104929176968","-9.485104929176968","-10.740964466267101","-10.740964466267101","-10.740964466267101","-19.005967591926048","-19.005967591926048","-19.005967591926048","-27.982731813733047","-27.982731813733047","-27.982731813733047","-11.296908458575269","-11.296908458575269","-11.296908458575269","-38.47549556034232","-38.47549556034232","-38.47549556034232","-11.785336752978619","-11.785336752978619","-11.785336752978619","-11.480969540094678","-11.480969540094678","-11.480969540094678","-14.593026518165397","-14.593026518165397","-14.593026518165397","-30.176609426212394","-30.176609426212394","-30.176609426212394","-25.778765033301074","-25.778765033301074","-25.778765033301074","-18.680778311122214","-18.680778311122214","-18.680778311122214","-18.486825339739056","-18.486825339739056","-18.486825339739056","-20.736643892612204","-20.736643892612204","-20.736643892612204","-31.735499696662878","-31.735499696662878","-31.735499696662878"
"2000","-10.109990892277445","-10.109990892277445","-10.109990892277445","-27.442493867566856","-27.442493867566856","-27.442493867566856","-13.57038896731446","-13.57038896731446","-13.57038896731446","-14.583602680331373","-14.583602680331373","-14.583602680331373","-13.729056443027128","-13.729056443027128","-13.729056443027128","-12.035744298019932","-12.035744298019932","-12.035744298019932","-10.17697845150607","-10.17697845150607","-10.17697845150607","-8.004988093307484","-8.004988093307484","-8.004988093307484","-27.431489221494985","-27.431489221494985","-27.431489221494985","-14.070992815973407","-14.070992815973407","-14.070992815973407","-26.701541928888226","-26.701541928888226","-26.701541928888226","-21.815754320047372","-21.815754320047372","-21.815754320047372","-27.01915876182236","-27.01915876182236","-27.01915876182236","-32.211959411538615","-32.211959411538615","-32.211959411538615","-17.573561349543915","-17.573561349543915","-17.573561349543915","-20.28821298569106","-20.28821298569106","-20.28821298569106","-13.121018992439641","-13.121018992439641","-13.121018992439641","-15.473454310688698","-15.473454310688698","-15.473454310688698","-19.124997418328725","-19.124997418328725","-19.124997418328725","-35.13462068462461","-35.13462068462461","-35.13462068462461"
"2500","-9.860684614398386","-9.860684614398386","-9.860684614398386","-16.097000626012083","-16.097000626012083","-16.097000626012083","-12.180594459711527","-12.180594459711527","-12.180594459711527","-11.060054275352716","-11.060054275352716","-11.060054275352716","-9.48810928951723","-9.48810928951723","-9.48810928951723","-9.130130904500538","-9.130130904500538","-9.130130904500538","-20.20360019762929","-20.20360019762929","-20.20360019762929","-8.527451000306007","-8.527451000306007","-8.527451000306007","-11.442359932950218","-11.442359932950218","-11.442359932950218","-14.427918989232662","-14.427918989232662","-14.427918989232662","-13.886752888863253","-13.886752888863253","-13.886752888863253","-38.85881303315269","-38.85881303315269","-38.85881303315269","-17.022110914182406","-17.022110914182406","-17.022110914182406","-14.677831422195876","-14.677831422195876","-14.677831422195876","-18.988509005294468","-18.988509005294468","-18.988509005294468","-8.746800456207914","-8.746800456207914","-8.746800456207914","-8.929261392213855","-8.929261392213855","-8.929261392213855","-13.669034722738639","-13.669034722738639","-13.669034722738639","-12.716118467466764","-12.716118467466764","-12.716118467466764","-11.98967944605189","-11.98967944605189","-11.98967944605189"
"3000","-9.070109549945947","-9.070109549945947","-9.070109549945947","-16.053609849229503","-16.053609849229503","-16.053609849229503","-10.177384739482065","-10.177384739482065","-10.177384739482065","-11.58977538673696","-11.58977538673696","-11.58977538673696","-10.929187660218938","-10.929187660218938","-10.929187660218938","-10.021630338367162","-10.021630338367162","-10.021630338367162","-11.423407702704429","-11.423407702704429","-11.423407702704429","-7.302186611926605","-7.302186611926605","-7.302186611926605","-7.690263926082227","-7.690263926082227","-7.690263926082227","-17.561826331663745","-17.561826331663745","-17.561826331663745","-10.70690524206217","-10.70690524206217","-10.70690524206217","-18.50700647333888","-18.50700647333888","-18.50700647333888","-19.277975788144545","-19.277975788144545","-19.277975788144545","-9.839683657505237","-9.839683657505237","-9.839683657505237","-14.909457768590894","-14.909457768590894","-14.909457768590894","-13.920460810311443","-13.920460810311443","-13.920460810311443","-8.891366477545796","-8.891366477545796","-8.891366477545796","-11.532221244585543","-11.532221244585543","-11.532221244585543","-11.211201730199322","-11.211201730199322","-11.211201730199322","-7.9839061850058455","-7.9839061850058455","-7.9839061850058455"
"3500","-10.05093677121931","-10.05093677121931","-10.05093677121931","-7.83898498918177","-7.83898498918177","-7.83898498918177","-7.850306571375128","-7.850306571375128","-7.850306571375128","-10.0305983194432","-10.0305983194432","-10.0305983194432","-12.635698707973626","-12.635698707973626","-12.635698707973626","-8.889948910503596","-8.889948910503596","-8.889948910503596","-9.787365110567297","-9.787365110567297","-9.787365110567297","-8.98547712332481","-8.98547712332481","-8.98547712332481","-10.626907051219337","-10.626907051219337","-10.626907051219337","-13.299176459948644","-13.299176459948644","-13.299176459948644","-17.76257870556855","-17.76257870556855","-17.76257870556855","-10.588739575264139","-10.588739575264139","-10.588739575264139","-11.896323199961405","-11.896323199961405","-11.896323199961405","-8.681387787491119","-8.681387787491119","-8.681387787491119","-15.513747324598787","-15.513747324598787","-15.513747324598787","-8.65942370221163","-8.65942370221163","-8.65942370221163","-13.485240413993106","-13.485240413993106","-13.485240413993106","-6.588033373873186","-6.588033373873186","-6.588033373873186","-13.169131484281891","-13.169131484281891","-13.169131484281891","-9.991401299767253","-9.991401299767253","-9.991401299767253"
"4000","-9.564032582812658","-9.564032582812658","-9.564032582812658","-7.504970202562783","-7.504970202562783","-7.504970202562783","-7.021596249038211","-7.021596249038211","-7.021596249038211","-9.011245890125855","-9.011245890125855","-9.011245890125855","-7.69728754502993","-7.69728754502993","-7.69728754502993","-7.6064755025682755","-7.6064755025682755","-7.6064755025682755","-12.404176212951086","-12.404176212951086","-12.404176212951086","-8.440423278738516","-8.440423278738516","-8.440423278738516","-8.347500761460767","-8.347500761460767","-8.347500761460767","-15.55655477046118","-15.55655477046118","-15.55655477046118","-12.548671973150809","-12.548671973150809","-12.548671973150809","-8.724206744034332","-8.724206744034332","-8.724206744034332","-11.62110498250117","-11.62110498250117","-11.62110498250117","-7.925451002276074","-7.925451002276074","-7.925451002276074","-11.500300752625975","-11.500300752625975","-11.500300752625975","-7.627111885920674","-7.627111885920674","-7.627111885920674","-6.304559503333408","-6.304559503333408","-6.304559503333408","-12.665012048930492","-12.665012048930492","-12.665012048930492","-7.709668357054231","-7.709668357054231","-7.709668357054231","-7.38835600357462","-7.38835600357462","-7.38835600357462"
"4500","-9.473579535698315","-9.473579535698315","-9.473579535698315","-8.01707586069008","-8.01707586069008","-8.01707586069008","-7.2499389419148885","-7.2499389419148885","-7.2499389419148885","-9.930618519902428","-9.930618519902428","-9.930618519902428","-9.395808781710608","-9.395808781710608","-9.395808781710608","-7.285829349251024","-7.285829349251024","-7.285829349251024","-11.242232694290342","-11.242232694290342","-11.242232694290342","-7.184757574871386","-7.184757574871386","-7.184757574871386","-6.578423895317222","-6.578423895317222","-6.578423895317222","-16.485176325772088","-16.485176325772088","-16.485176325772088","-10.510275762219505","-10.510275762219505","-10.510275762219505","-7.842869376084472","-7.842869376084472","-7.842869376084472","-11.032126284984306","-11.032126284984306","-11.032126284984306","-7.926173500418014","-7.926173500418014","-7.926173500418014","-8.944858280693131","-8.944858280693131","-8.944858280693131","-6.914787706203439","-6.914787706203439","-6.914787706203439","-6.345144311139155","-6.345144311139155","-6.345144311139155","-6.332893143213614","-6.332893143213614","-6.332893143213614","-8.925944099027722","-8.925944099027722","-8.925944099027722","-7.222672065175592","-7.222672065175592","-7.222672065175592"
