"Step","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_14 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_19 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_13 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_18 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_12 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_17 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_11 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_16 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_15 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_10 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_UTE_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"0","-6.93500112096396","-6.93500112096396","-6.93500112096396","-7.663083893770276","-7.663083893770276","-7.663083893770276","-8.64825351471705","-8.64825351471705","-8.64825351471705","-9.945768153951164","-9.945768153951164","-9.945768153951164","-9.943221371639183","-9.943221371639183","-9.943221371639183","-10.441808797576554","-10.441808797576554","-10.441808797576554","-9.174207067825957","-9.174207067825957","-9.174207067825957","-10.305575354484493","-10.305575354484493","-10.305575354484493","-7.199349068395179","-7.199349068395179","-7.199349068395179","-9.1368638631195","-9.1368638631195","-9.1368638631195","-9.790786556063477","-9.790786556063477","-9.790786556063477","-11.586765939064154","-11.586765939064154","-11.586765939064154","-13.556985523428","-13.556985523428","-13.556985523428","-12.388906026622731","-12.388906026622731","-12.388906026622731","-11.509098944194122","-11.509098944194122","-11.509098944194122","-10.083452893891328","-10.083452893891328","-10.083452893891328","-8.179482306117963","-8.179482306117963","-8.179482306117963","-14.917407456273727","-14.917407456273727","-14.917407456273727","-7.994411509322437","-7.994411509322437","-7.994411509322437","-9.64174880842432","-9.64174880842432","-9.64174880842432"
"500","-6.93500112096396","-6.93500112096396","-6.93500112096396","-7.665138868220789","-7.665138868220789","-7.665138868220789","-8.665251983540221","-8.665251983540221","-8.665251983540221","-9.945768153951164","-9.945768153951164","-9.945768153951164","-10.122734456865887","-10.122734456865887","-10.122734456865887","-10.441808797576554","-10.441808797576554","-10.441808797576554","-9.058086954063352","-9.058086954063352","-9.058086954063352","-10.359524271414925","-10.359524271414925","-10.359524271414925","-7.234161784959502","-7.234161784959502","-7.234161784959502","-9.123042125124813","-9.123042125124813","-9.123042125124813","-9.790786556063477","-9.790786556063477","-9.790786556063477","-11.586111526861666","-11.586111526861666","-11.586111526861666","-13.556985523428","-13.556985523428","-13.556985523428","-12.385166007920063","-12.385166007920063","-12.385166007920063","-11.50860779194862","-11.50860779194862","-11.50860779194862","-10.083452893891328","-10.083452893891328","-10.083452893891328","-8.104934242375204","-8.104934242375204","-8.104934242375204","-14.917407456273727","-14.917407456273727","-14.917407456273727","-8.058338901636748","-8.058338901636748","-8.058338901636748","-9.64210962792043","-9.64210962792043","-9.64210962792043"
"1000","-6.9357768251005165","-6.9357768251005165","-6.9357768251005165","-7.665138868220789","-7.665138868220789","-7.665138868220789","-8.665251983540221","-8.665251983540221","-8.665251983540221","-9.945768153951164","-9.945768153951164","-9.945768153951164","-9.943221371639183","-9.943221371639183","-9.943221371639183","-10.441808797576554","-10.441808797576554","-10.441808797576554","-9.058086954063352","-9.058086954063352","-9.058086954063352","-10.137232560967428","-10.137232560967428","-10.137232560967428","-7.199349068395179","-7.199349068395179","-7.199349068395179","-9.123042125124813","-9.123042125124813","-9.123042125124813","-9.796524533825387","-9.796524533825387","-9.796524533825387","-11.617142699151113","-11.617142699151113","-11.617142699151113","-13.556985523428","-13.556985523428","-13.556985523428","-12.385166007920063","-12.385166007920063","-12.385166007920063","-10.569843757608542","-10.569843757608542","-10.569843757608542","-10.083452893891328","-10.083452893891328","-10.083452893891328","-8.179482306117963","-8.179482306117963","-8.179482306117963","-14.917407456273727","-14.917407456273727","-14.917407456273727","-8.138976833283635","-8.138976833283635","-8.138976833283635","-8.881200282181656","-8.881200282181656","-8.881200282181656"
"1500","-19.692343979157016","-19.692343979157016","-19.692343979157016","-13.927451603550091","-13.927451603550091","-13.927451603550091","-18.3373235805463","-18.3373235805463","-18.3373235805463","-21.181846405667024","-21.181846405667024","-21.181846405667024","-12.771816150193441","-12.771816150193441","-12.771816150193441","-14.10845762694446","-14.10845762694446","-14.10845762694446","-14.077935436615189","-14.077935436615189","-14.077935436615189","-11.6890632268579","-11.6890632268579","-11.6890632268579","-19.190809012673178","-19.190809012673178","-19.190809012673178","-17.242306790918633","-17.242306790918633","-17.242306790918633","-5.466368232966692","-5.466368232966692","-5.466368232966692","-14.939789191683408","-14.939789191683408","-14.939789191683408","-6.513301457275399","-6.513301457275399","-6.513301457275399","-15.149326170814145","-15.149326170814145","-15.149326170814145","-11.635643073046902","-11.635643073046902","-11.635643073046902","-11.73874947602144","-11.73874947602144","-11.73874947602144","-7.257055361451782","-7.257055361451782","-7.257055361451782","-11.4276834329132","-11.4276834329132","-11.4276834329132","-14.358696393741269","-14.358696393741269","-14.358696393741269","-17.83118969642636","-17.83118969642636","-17.83118969642636"
"2000","-13.250291767563052","-13.250291767563052","-13.250291767563052","-6.839644437266111","-6.839644437266111","-6.839644437266111","-9.04615146681856","-9.04615146681856","-9.04615146681856","-14.98142768400299","-14.98142768400299","-14.98142768400299","-6.647340696428882","-6.647340696428882","-6.647340696428882","-8.868470154709623","-8.868470154709623","-8.868470154709623","-15.23776623269311","-15.23776623269311","-15.23776623269311","-11.06469617991203","-11.06469617991203","-11.06469617991203","-9.767172528131857","-9.767172528131857","-9.767172528131857","-11.059830093279967","-11.059830093279967","-11.059830093279967","-15.119786853172723","-15.119786853172723","-15.119786853172723","-15.258501620065715","-15.258501620065715","-15.258501620065715","-7.329853464291813","-7.329853464291813","-7.329853464291813","-19.969782921726658","-19.969782921726658","-19.969782921726658","-18.90460325140767","-18.90460325140767","-18.90460325140767","-9.247226698725893","-9.247226698725893","-9.247226698725893","-7.062499625927525","-7.062499625927525","-7.062499625927525","-43.94403939346106","-43.94403939346106","-43.94403939346106","-8.982743933113431","-8.982743933113431","-8.982743933113431","-14.415043308901033","-14.415043308901033","-14.415043308901033"
"2500","-15.126438157996555","-15.126438157996555","-15.126438157996555","-8.558173926632255","-8.558173926632255","-8.558173926632255","-7.199459550747369","-7.199459550747369","-7.199459550747369","-9.366596333471483","-9.366596333471483","-9.366596333471483","-13.656614816610212","-13.656614816610212","-13.656614816610212","-10.245108636026837","-10.245108636026837","-10.245108636026837","-12.766361684380385","-12.766361684380385","-12.766361684380385","-7.7716929504986325","-7.7716929504986325","-7.7716929504986325","-16.256571486557597","-16.256571486557597","-16.256571486557597","-17.107487281737253","-17.107487281737253","-17.107487281737253","-8.826034922349333","-8.826034922349333","-8.826034922349333","-13.000555912470523","-13.000555912470523","-13.000555912470523","-18.143705712397622","-18.143705712397622","-18.143705712397622","-7.087953028910531","-7.087953028910531","-7.087953028910531","-10.341016108056749","-10.341016108056749","-10.341016108056749","-12.04095536776061","-12.04095536776061","-12.04095536776061","-6.051799395925986","-6.051799395925986","-6.051799395925986","-6.738614111480797","-6.738614111480797","-6.738614111480797","-9.881731185199904","-9.881731185199904","-9.881731185199904","-8.377548995982659","-8.377548995982659","-8.377548995982659"
"3000","-7.9712457958498435","-7.9712457958498435","-7.9712457958498435","-8.005354022481049","-8.005354022481049","-8.005354022481049","-7.399388867365639","-7.399388867365639","-7.399388867365639","-9.531471122246458","-9.531471122246458","-9.531471122246458","-9.14070042605877","-9.14070042605877","-9.14070042605877","-6.91939917320464","-6.91939917320464","-6.91939917320464","-18.264749351095514","-18.264749351095514","-18.264749351095514","-5.7477937713463385","-5.7477937713463385","-5.7477937713463385","-7.553900488757206","-7.553900488757206","-7.553900488757206","-13.272878724898362","-13.272878724898362","-13.272878724898362","-10.512307934330742","-10.512307934330742","-10.512307934330742","-8.76802143080263","-8.76802143080263","-8.76802143080263","-11.417088870645827","-11.417088870645827","-11.417088870645827","-10.797075132696637","-10.797075132696637","-10.797075132696637","-8.925568537786276","-8.925568537786276","-8.925568537786276","-8.024274618271118","-8.024274618271118","-8.024274618271118","-8.605786620515385","-8.605786620515385","-8.605786620515385","-13.730382013288075","-13.730382013288075","-13.730382013288075","-7.067089436764801","-7.067089436764801","-7.067089436764801","-13.458461706645044","-13.458461706645044","-13.458461706645044"
"3500","-5.742734272625365","-5.742734272625365","-5.742734272625365","-9.812802331008744","-9.812802331008744","-9.812802331008744","-7.860133541553583","-7.860133541553583","-7.860133541553583","-7.179171159729016","-7.179171159729016","-7.179171159729016","-9.156392612332802","-9.156392612332802","-9.156392612332802","-7.6882035695748625","-7.6882035695748625","-7.6882035695748625","-19.791761081399635","-19.791761081399635","-19.791761081399635","-5.89696371024101","-5.89696371024101","-5.89696371024101","-6.404317240591837","-6.404317240591837","-6.404317240591837","-10.772135820986673","-10.772135820986673","-10.772135820986673","-11.336824762037224","-11.336824762037224","-11.336824762037224","-10.518164724306065","-10.518164724306065","-10.518164724306065","-6.923671751434904","-6.923671751434904","-6.923671751434904","-7.135351405457432","-7.135351405457432","-7.135351405457432","-7.856314697369939","-7.856314697369939","-7.856314697369939","-7.148811954788582","-7.148811954788582","-7.148811954788582","-6.928110508101513","-6.928110508101513","-6.928110508101513","-6.965557963526885","-6.965557963526885","-6.965557963526885","-9.546818392483683","-9.546818392483683","-9.546818392483683","-13.710428727139249","-13.710428727139249","-13.710428727139249"
"4000","-5.714227033013481","-5.714227033013481","-5.714227033013481","-6.633303774076493","-6.633303774076493","-6.633303774076493","-7.88966169207359","-7.88966169207359","-7.88966169207359","-9.327136261054926","-9.327136261054926","-9.327136261054926","-13.61693881390671","-13.61693881390671","-13.61693881390671","-10.776149518389978","-10.776149518389978","-10.776149518389978","-12.702593448203402","-12.702593448203402","-12.702593448203402","-5.49819201633212","-5.49819201633212","-5.49819201633212","-6.757596029231534","-6.757596029231534","-6.757596029231534","-18.747982822565255","-18.747982822565255","-18.747982822565255","-12.785637962060276","-12.785637962060276","-12.785637962060276","-10.767994169233496","-10.767994169233496","-10.767994169233496","-16.63019219399122","-16.63019219399122","-16.63019219399122","-9.82530243327935","-9.82530243327935","-9.82530243327935","-8.36631078637635","-8.36631078637635","-8.36631078637635","-6.221926753558863","-6.221926753558863","-6.221926753558863","-11.104287515119527","-11.104287515119527","-11.104287515119527","-6.330061365088007","-6.330061365088007","-6.330061365088007","-6.98619014053194","-6.98619014053194","-6.98619014053194","-5.854338990729721","-5.854338990729721","-5.854338990729721"
"4500","-5.5820754161678146","-5.5820754161678146","-5.5820754161678146","-7.3550951414418835","-7.3550951414418835","-7.3550951414418835","-7.186543856761797","-7.186543856761797","-7.186543856761797","-7.558405307003325","-7.558405307003325","-7.558405307003325","-7.029004118633303","-7.029004118633303","-7.029004118633303","-8.763424326851993","-8.763424326851993","-8.763424326851993","-8.059237735788987","-8.059237735788987","-8.059237735788987","-7.225838297783433","-7.225838297783433","-7.225838297783433","-7.592493142295505","-7.592493142295505","-7.592493142295505","-10.062537653569292","-10.062537653569292","-10.062537653569292","-10.72666475280677","-10.72666475280677","-10.72666475280677","-9.014964446166442","-9.014964446166442","-9.014964446166442","-4.817901283019772","-4.817901283019772","-4.817901283019772","-6.902893208675598","-6.902893208675598","-6.902893208675598","-8.148172565382064","-8.148172565382064","-8.148172565382064","-6.2168669122881965","-6.2168669122881965","-6.2168669122881965","-4.574538240455959","-4.574538240455959","-4.574538240455959","-10.108844415716543","-10.108844415716543","-10.108844415716543","-5.974432855186693","-5.974432855186693","-5.974432855186693","-10.965376438531488","-10.965376438531488","-10.965376438531488"
