"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1620.3310577856978","-1620.3310577856978","-1620.3310577856978","-1431.2213852736127","-1431.2213852736127","-1431.2213852736127","-1819.8859301944453","-1819.8859301944453","-1819.8859301944453","-1765.6658868272311","-1765.6658868272311","-1765.6658868272311","-1370.536664852733","-1370.536664852733","-1370.536664852733","-1717.6130638039576","-1717.6130638039576","-1717.6130638039576","-1468.4868769079033","-1468.4868769079033","-1468.4868769079033","-1612.9758523806922","-1612.9758523806922","-1612.9758523806922","-1730.179933875415","-1730.179933875415","-1730.179933875415","-1643.061736279053","-1643.061736279053","-1643.061736279053","-1625.5808325429098","-1625.5808325429098","-1625.5808325429098","-1465.431944060879","-1465.431944060879","-1465.431944060879","-1805.0574386129306","-1805.0574386129306","-1805.0574386129306","-1788.0576521252738","-1788.0576521252738","-1788.0576521252738","-1261.7144334316006","-1261.7144334316006","-1261.7144334316006","-1568.5291383032397","-1568.5291383032397","-1568.5291383032397","-1610.7454136460835","-1610.7454136460835","-1610.7454136460835","-1433.097538490751","-1433.097538490751","-1433.097538490751","-1503.0019725340976","-1503.0019725340976","-1503.0019725340976","-1565.155879133686","-1565.155879133686","-1565.155879133686"
"1500","-1465.1848877569514","-1465.1848877569514","-1465.1848877569514","-1517.8677833522934","-1517.8677833522934","-1517.8677833522934","-1579.9864046451978","-1579.9864046451978","-1579.9864046451978","-1673.1695475870742","-1673.1695475870742","-1673.1695475870742","-1435.2690495788877","-1435.2690495788877","-1435.2690495788877","-1776.6876581814226","-1776.6876581814226","-1776.6876581814226","-1532.3585060696512","-1532.3585060696512","-1532.3585060696512","-1600.7567612164542","-1600.7567612164542","-1600.7567612164542","-1553.127071965046","-1553.127071965046","-1553.127071965046","-1519.2957229105223","-1519.2957229105223","-1519.2957229105223","-1493.118570749761","-1493.118570749761","-1493.118570749761","-1481.7263129775988","-1481.7263129775988","-1481.7263129775988","-1530.7566933693731","-1530.7566933693731","-1530.7566933693731","-1547.5163170737344","-1547.5163170737344","-1547.5163170737344","-1610.4641361612378","-1610.4641361612378","-1610.4641361612378","-1492.5930303693024","-1492.5930303693024","-1492.5930303693024","-1467.3165863964427","-1467.3165863964427","-1467.3165863964427","-1690.570679891832","-1690.570679891832","-1690.570679891832","-1454.3262881611304","-1454.3262881611304","-1454.3262881611304","-1532.7871292286186","-1532.7871292286186","-1532.7871292286186"
"1800","-1470.4191287286242","-1470.4191287286242","-1470.4191287286242","-1611.9794665384773","-1611.9794665384773","-1611.9794665384773","-1516.7673891498562","-1516.7673891498562","-1516.7673891498562","-1493.167294184536","-1493.167294184536","-1493.167294184536","-1490.9966990511298","-1490.9966990511298","-1490.9966990511298","-1483.463135045874","-1483.463135045874","-1483.463135045874","-1505.839961821392","-1505.839961821392","-1505.839961821392","-1462.5936237541314","-1462.5936237541314","-1462.5936237541314","-1523.0975111494784","-1523.0975111494784","-1523.0975111494784","-1479.7347241195307","-1479.7347241195307","-1479.7347241195307","-1473.4235936140258","-1473.4235936140258","-1473.4235936140258","-1471.9999107001222","-1471.9999107001222","-1471.9999107001222","-1461.0584723081954","-1461.0584723081954","-1461.0584723081954","-1499.6505881847618","-1499.6505881847618","-1499.6505881847618","-1494.8648642460844","-1494.8648642460844","-1494.8648642460844","-1483.854935847838","-1483.854935847838","-1483.854935847838","-1484.844878579604","-1484.844878579604","-1484.844878579604","-1430.1621401148957","-1430.1621401148957","-1430.1621401148957","-1441.4168426657523","-1441.4168426657523","-1441.4168426657523","-1480.3624712549504","-1480.3624712549504","-1480.3624712549504"
"2100","-1423.3315998545033","-1423.3315998545033","-1423.3315998545033","-1491.4948239339778","-1491.4948239339778","-1491.4948239339778","-1496.8950403712813","-1496.8950403712813","-1496.8950403712813","-1480.5398324307826","-1480.5398324307826","-1480.5398324307826","-1470.2957566013522","-1470.2957566013522","-1470.2957566013522","-1471.9409166766159","-1471.9409166766159","-1471.9409166766159","-1481.092279000129","-1481.092279000129","-1481.092279000129","-1393.22067415841","-1393.22067415841","-1393.22067415841","-1489.1272246856051","-1489.1272246856051","-1489.1272246856051","-1448.655228566019","-1448.655228566019","-1448.655228566019","-1454.7774412406113","-1454.7774412406113","-1454.7774412406113","-1464.1134250386922","-1464.1134250386922","-1464.1134250386922","-1451.4694339267187","-1451.4694339267187","-1451.4694339267187","-1457.0580077508014","-1457.0580077508014","-1457.0580077508014","-1468.4573250926337","-1468.4573250926337","-1468.4573250926337","-1438.8580358267209","-1438.8580358267209","-1438.8580358267209","-1553.987817250157","-1553.987817250157","-1553.987817250157","-1436.1904420811634","-1436.1904420811634","-1436.1904420811634","-1407.8213692574589","-1407.8213692574589","-1407.8213692574589","-1473.1051996755396","-1473.1051996755396","-1473.1051996755396"
"2400","-1303.6696779066826","-1303.6696779066826","-1303.6696779066826","-1460.3738998591296","-1460.3738998591296","-1460.3738998591296","-1445.4853658414659","-1445.4853658414659","-1445.4853658414659","-1421.5619627779583","-1421.5619627779583","-1421.5619627779583","-1332.2982415338743","-1332.2982415338743","-1332.2982415338743","-1411.651110589943","-1411.651110589943","-1411.651110589943","-1393.5771523688722","-1393.5771523688722","-1393.5771523688722","-1149.3973764485963","-1149.3973764485963","-1149.3973764485963","-1307.138042848282","-1307.138042848282","-1307.138042848282","-1287.4429319291062","-1287.4429319291062","-1287.4429319291062","-1287.3016475132633","-1287.3016475132633","-1287.3016475132633","-1399.3076207665079","-1399.3076207665079","-1399.3076207665079","-1313.035839909006","-1313.035839909006","-1313.035839909006","-1331.6823405120529","-1331.6823405120529","-1331.6823405120529","-1307.559232145512","-1307.559232145512","-1307.559232145512","-1400.3103434333548","-1400.3103434333548","-1400.3103434333548","-1302.1361634933455","-1302.1361634933455","-1302.1361634933455","-1207.3257922335451","-1207.3257922335451","-1207.3257922335451","-1388.5641848952012","-1388.5641848952012","-1388.5641848952012","-1260.5658288589402","-1260.5658288589402","-1260.5658288589402"
"2700","-1207.6034213577936","-1207.6034213577936","-1207.6034213577936","-1331.6087466563908","-1331.6087466563908","-1331.6087466563908","-1295.6977181634952","-1295.6977181634952","-1295.6977181634952","-1226.0467263035675","-1226.0467263035675","-1226.0467263035675","-1128.7002796483214","-1128.7002796483214","-1128.7002796483214","-1252.704912084005","-1252.704912084005","-1252.704912084005","-1281.7374287947862","-1281.7374287947862","-1281.7374287947862","-586.4631873340232","-586.4631873340232","-586.4631873340232","-1109.6747463282777","-1109.6747463282777","-1109.6747463282777","-1196.0343958858678","-1196.0343958858678","-1196.0343958858678","-1196.5012428119167","-1196.5012428119167","-1196.5012428119167","-1129.2163607021646","-1129.2163607021646","-1129.2163607021646","-1157.238359610266","-1157.238359610266","-1157.238359610266","-1306.0561289655086","-1306.0561289655086","-1306.0561289655086","-1207.0518410385182","-1207.0518410385182","-1207.0518410385182","-1157.5879301439454","-1157.5879301439454","-1157.5879301439454","-1211.9385862925524","-1211.9385862925524","-1211.9385862925524","-1125.7349408252862","-1125.7349408252862","-1125.7349408252862","-1249.5758640371064","-1249.5758640371064","-1249.5758640371064","-1135.2895063208148","-1135.2895063208148","-1135.2895063208148"
