"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1425.1549515538613","-1425.1549515538613","-1425.1549515538613","-1737.9558070877872","-1737.9558070877872","-1737.9558070877872","-1603.2190859372245","-1603.2190859372245","-1603.2190859372245","-1678.534631726797","-1678.534631726797","-1678.534631726797","-1381.1084834322137","-1381.1084834322137","-1381.1084834322137","-1733.0767571495787","-1733.0767571495787","-1733.0767571495787","-1635.6592375083796","-1635.6592375083796","-1635.6592375083796","-1655.14207039224","-1655.14207039224","-1655.14207039224","-1786.1386285553185","-1786.1386285553185","-1786.1386285553185","-1655.8781872543248","-1655.8781872543248","-1655.8781872543248","-1673.2551318372418","-1673.2551318372418","-1673.2551318372418","-1565.3463588276577","-1565.3463588276577","-1565.3463588276577","-1434.475220586001","-1434.475220586001","-1434.475220586001","-1840.6993382476412","-1840.6993382476412","-1840.6993382476412","-1620.9107734292925","-1620.9107734292925","-1620.9107734292925","-1257.6933400309058","-1257.6933400309058","-1257.6933400309058","-1724.7589920805717","-1724.7589920805717","-1724.7589920805717","-1399.9231182515155","-1399.9231182515155","-1399.9231182515155","-1720.5201721915705","-1720.5201721915705","-1720.5201721915705","-1773.604017608756","-1773.604017608756","-1773.604017608756"
"1500","-1507.2300714475684","-1507.2300714475684","-1507.2300714475684","-1501.2130346644244","-1501.2130346644244","-1501.2130346644244","-1571.5128872134133","-1571.5128872134133","-1571.5128872134133","-1508.135372593512","-1508.135372593512","-1508.135372593512","-1503.412563651975","-1503.412563651975","-1503.412563651975","-1747.492974718966","-1747.492974718966","-1747.492974718966","-1524.6687558128515","-1524.6687558128515","-1524.6687558128515","-1462.6378157000722","-1462.6378157000722","-1462.6378157000722","-1650.4391856379614","-1650.4391856379614","-1650.4391856379614","-1528.27206928919","-1528.27206928919","-1528.27206928919","-1783.9354908664463","-1783.9354908664463","-1783.9354908664463","-1486.9479982671332","-1486.9479982671332","-1486.9479982671332","-1607.714963620783","-1607.714963620783","-1607.714963620783","-1509.3360366178108","-1509.3360366178108","-1509.3360366178108","-1548.7306353169465","-1548.7306353169465","-1548.7306353169465","-1461.680457079689","-1461.680457079689","-1461.680457079689","-1639.4368521509307","-1639.4368521509307","-1639.4368521509307","-1514.3443899538775","-1514.3443899538775","-1514.3443899538775","-1461.8360536442813","-1461.8360536442813","-1461.8360536442813","-1777.804692170032","-1777.804692170032","-1777.804692170032"
"1800","-1470.5538563716477","-1470.5538563716477","-1470.5538563716477","-1489.40488279574","-1489.40488279574","-1489.40488279574","-1586.137924073053","-1586.137924073053","-1586.137924073053","-1521.8294574651322","-1521.8294574651322","-1521.8294574651322","-1467.609347137184","-1467.609347137184","-1467.609347137184","-1467.063921113843","-1467.063921113843","-1467.063921113843","-1623.7313462988946","-1623.7313462988946","-1623.7313462988946","-1417.41151890153","-1417.41151890153","-1417.41151890153","-1497.8065283937035","-1497.8065283937035","-1497.8065283937035","-1505.5270923719258","-1505.5270923719258","-1505.5270923719258","-1505.732085306543","-1505.732085306543","-1505.732085306543","-1471.071892414758","-1471.071892414758","-1471.071892414758","-1455.6123045377954","-1455.6123045377954","-1455.6123045377954","-1478.969640310785","-1478.969640310785","-1478.969640310785","-1472.9257869826508","-1472.9257869826508","-1472.9257869826508","-1447.195514522256","-1447.195514522256","-1447.195514522256","-1497.8302494031432","-1497.8302494031432","-1497.8302494031432","-1481.2934359331568","-1481.2934359331568","-1481.2934359331568","-1456.424010633957","-1456.424010633957","-1456.424010633957","-1467.7678817715512","-1467.7678817715512","-1467.7678817715512"
"2100","-1426.4034361382983","-1426.4034361382983","-1426.4034361382983","-1497.9349416216733","-1497.9349416216733","-1497.9349416216733","-1561.7908294337108","-1561.7908294337108","-1561.7908294337108","-1474.5836344891054","-1474.5836344891054","-1474.5836344891054","-1409.8125739889094","-1409.8125739889094","-1409.8125739889094","-1464.5298923218784","-1464.5298923218784","-1464.5298923218784","-1527.7679003314142","-1527.7679003314142","-1527.7679003314142","-1403.634857758195","-1403.634857758195","-1403.634857758195","-1474.2178528956745","-1474.2178528956745","-1474.2178528956745","-1352.6359763234443","-1352.6359763234443","-1352.6359763234443","-1362.1259325796304","-1362.1259325796304","-1362.1259325796304","-1449.8639252803964","-1449.8639252803964","-1449.8639252803964","-1441.952735323403","-1441.952735323403","-1441.952735323403","-1478.4484577298213","-1478.4484577298213","-1478.4484577298213","-1363.3813863047815","-1363.3813863047815","-1363.3813863047815","-1420.458842595004","-1420.458842595004","-1420.458842595004","-1510.770321474408","-1510.770321474408","-1510.770321474408","-1475.0445657529567","-1475.0445657529567","-1475.0445657529567","-1425.461362366285","-1425.461362366285","-1425.461362366285","-1459.2175991597749","-1459.2175991597749","-1459.2175991597749"
"2400","-1248.4799290251563","-1248.4799290251563","-1248.4799290251563","-1460.7562097239756","-1460.7562097239756","-1460.7562097239756","-1426.6973646416925","-1426.6973646416925","-1426.6973646416925","-1429.2274784317647","-1429.2274784317647","-1429.2274784317647","-1345.7291162245247","-1345.7291162245247","-1345.7291162245247","-1313.5365913745095","-1313.5365913745095","-1313.5365913745095","-1425.9474052962182","-1425.9474052962182","-1425.9474052962182","-1294.1119150080517","-1294.1119150080517","-1294.1119150080517","-1330.8392626331574","-1330.8392626331574","-1330.8392626331574","-1301.5121803460338","-1301.5121803460338","-1301.5121803460338","-1293.3396696938348","-1293.3396696938348","-1293.3396696938348","-1388.3051574555075","-1388.3051574555075","-1388.3051574555075","-1399.4699140405621","-1399.4699140405621","-1399.4699140405621","-1392.2382642999505","-1392.2382642999505","-1392.2382642999505","-1313.2961005304685","-1313.2961005304685","-1313.2961005304685","-1304.2594078276657","-1304.2594078276657","-1304.2594078276657","-1391.6646776707125","-1391.6646776707125","-1391.6646776707125","-1559.8164727235308","-1559.8164727235308","-1559.8164727235308","-1430.1509169570522","-1430.1509169570522","-1430.1509169570522","-1433.780317620312","-1433.780317620312","-1433.780317620312"
"2700","-1155.336307254473","-1155.336307254473","-1155.336307254473","-1307.6865488608069","-1307.6865488608069","-1307.6865488608069","-1333.2838733702974","-1333.2838733702974","-1333.2838733702974","-1290.0293389496587","-1290.0293389496587","-1290.0293389496587","-1279.4459127469404","-1279.4459127469404","-1279.4459127469404","-1207.857806079043","-1207.857806079043","-1207.857806079043","-1298.1573162242737","-1298.1573162242737","-1298.1573162242737","-848.3242558144381","-848.3242558144381","-848.3242558144381","-1145.8030813407975","-1145.8030813407975","-1145.8030813407975","-1282.6787606686282","-1282.6787606686282","-1282.6787606686282","-1133.4527448769136","-1133.4527448769136","-1133.4527448769136","-1183.3515622507607","-1183.3515622507607","-1183.3515622507607","-1174.707076473646","-1174.707076473646","-1174.707076473646","-1146.0106067190136","-1146.0106067190136","-1146.0106067190136","-1228.6127879995342","-1228.6127879995342","-1228.6127879995342","-973.2147508349477","-973.2147508349477","-973.2147508349477","-1237.212742558435","-1237.212742558435","-1237.212742558435","-1226.0165609800376","-1226.0165609800376","-1226.0165609800376","-1241.102489339567","-1241.102489339567","-1241.102489339567","-1202.3344716608424","-1202.3344716608424","-1202.3344716608424"
