"Step","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_EQL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1549.6217311908051","-1549.6217311908051","-1549.6217311908051","-1548.6165330350964","-1548.6165330350964","-1548.6165330350964","-1843.6822294856768","-1843.6822294856768","-1843.6822294856768","-1590.7247009851276","-1590.7247009851276","-1590.7247009851276","-1418.3767524916152","-1418.3767524916152","-1418.3767524916152","-1790.785585745511","-1790.785585745511","-1790.785585745511","-1657.9078536594602","-1657.9078536594602","-1657.9078536594602","-1591.2955684479207","-1591.2955684479207","-1591.2955684479207","-1745.8689204711104","-1745.8689204711104","-1745.8689204711104","-1547.8601074898972","-1547.8601074898972","-1547.8601074898972","-1785.6789316457339","-1785.6789316457339","-1785.6789316457339","-1522.833463904139","-1522.833463904139","-1522.833463904139","-1471.5131093934551","-1471.5131093934551","-1471.5131093934551","-1343.1662711752958","-1343.1662711752958","-1343.1662711752958","-1685.3136554149405","-1685.3136554149405","-1685.3136554149405","-1718.8542054282516","-1718.8542054282516","-1718.8542054282516","-1712.8559201107946","-1712.8559201107946","-1712.8559201107946","-1614.6704699250597","-1614.6704699250597","-1614.6704699250597","-1739.3027349103188","-1739.3027349103188","-1739.3027349103188","-1567.8384304734786","-1567.8384304734786","-1567.8384304734786"
"1500","-1543.6857987732483","-1543.6857987732483","-1543.6857987732483","-1762.857384721531","-1762.857384721531","-1762.857384721531","-1525.213732470257","-1525.213732470257","-1525.213732470257","-1493.8074868868111","-1493.8074868868111","-1493.8074868868111","-1508.7134359855143","-1508.7134359855143","-1508.7134359855143","-1638.8275420160346","-1638.8275420160346","-1638.8275420160346","-1513.5054244344778","-1513.5054244344778","-1513.5054244344778","-1435.899425376696","-1435.899425376696","-1435.899425376696","-1525.6472984741622","-1525.6472984741622","-1525.6472984741622","-1653.850747436025","-1653.850747436025","-1653.850747436025","-1824.7602922047013","-1824.7602922047013","-1824.7602922047013","-1505.7681130800138","-1505.7681130800138","-1505.7681130800138","-1507.897879917453","-1507.897879917453","-1507.897879917453","-1671.9314928877968","-1671.9314928877968","-1671.9314928877968","-1664.3624433790562","-1664.3624433790562","-1664.3624433790562","-1484.1232853009212","-1484.1232853009212","-1484.1232853009212","-1498.9340262532605","-1498.9340262532605","-1498.9340262532605","-1502.7400545460266","-1502.7400545460266","-1502.7400545460266","-1467.2993972987902","-1467.2993972987902","-1467.2993972987902","-1486.4074238515855","-1486.4074238515855","-1486.4074238515855"
"1800","-1543.9527831345574","-1543.9527831345574","-1543.9527831345574","-1514.4596885196854","-1514.4596885196854","-1514.4596885196854","-1509.7840124550692","-1509.7840124550692","-1509.7840124550692","-1518.194150391123","-1518.194150391123","-1518.194150391123","-1693.1798981785262","-1693.1798981785262","-1693.1798981785262","-1545.4796349902826","-1545.4796349902826","-1545.4796349902826","-1507.9331283724653","-1507.9331283724653","-1507.9331283724653","-1427.0305194261764","-1427.0305194261764","-1427.0305194261764","-1535.3872372603223","-1535.3872372603223","-1535.3872372603223","-1474.3354788145216","-1474.3354788145216","-1474.3354788145216","-1501.5061084644178","-1501.5061084644178","-1501.5061084644178","-1475.080557170527","-1475.080557170527","-1475.080557170527","-1464.641893270026","-1464.641893270026","-1464.641893270026","-1488.1763851598985","-1488.1763851598985","-1488.1763851598985","-1486.6346463272935","-1486.6346463272935","-1486.6346463272935","-1426.132538237658","-1426.132538237658","-1426.132538237658","-1492.4889620092843","-1492.4889620092843","-1492.4889620092843","-1477.5832361512844","-1477.5832361512844","-1477.5832361512844","-1445.4789987603535","-1445.4789987603535","-1445.4789987603535","-1476.2699115337978","-1476.2699115337978","-1476.2699115337978"
"2100","-1492.3777125128586","-1492.3777125128586","-1492.3777125128586","-1476.0033362104186","-1476.0033362104186","-1476.0033362104186","-1510.060898932991","-1510.060898932991","-1510.060898932991","-1469.1850897582544","-1469.1850897582544","-1469.1850897582544","-1486.166205667026","-1486.166205667026","-1486.166205667026","-1466.4107403889673","-1466.4107403889673","-1466.4107403889673","-1522.7165382084745","-1522.7165382084745","-1522.7165382084745","-1464.5186548325119","-1464.5186548325119","-1464.5186548325119","-1506.4687294735345","-1506.4687294735345","-1506.4687294735345","-1404.3225252699572","-1404.3225252699572","-1404.3225252699572","-1448.501426755863","-1448.501426755863","-1448.501426755863","-1441.1268982388997","-1441.1268982388997","-1441.1268982388997","-1451.7026938274607","-1451.7026938274607","-1451.7026938274607","-1481.345365336875","-1481.345365336875","-1481.345365336875","-1490.649413498582","-1490.649413498582","-1490.649413498582","-1341.48690360647","-1341.48690360647","-1341.48690360647","-1451.3971768984384","-1451.3971768984384","-1451.3971768984384","-1462.0967239602962","-1462.0967239602962","-1462.0967239602962","-1444.8646660114296","-1444.8646660114296","-1444.8646660114296","-1450.1406990404414","-1450.1406990404414","-1450.1406990404414"
"2400","-1381.0124208751804","-1381.0124208751804","-1381.0124208751804","-1331.0658278229928","-1331.0658278229928","-1331.0658278229928","-1455.4066220829034","-1455.4066220829034","-1455.4066220829034","-1375.6216507915876","-1375.6216507915876","-1375.6216507915876","-1267.524372117796","-1267.524372117796","-1267.524372117796","-1291.058312867331","-1291.058312867331","-1291.058312867331","-1447.3092149572526","-1447.3092149572526","-1447.3092149572526","-1274.5835479922323","-1274.5835479922323","-1274.5835479922323","-1396.0639699858973","-1396.0639699858973","-1396.0639699858973","-1150.2384323007823","-1150.2384323007823","-1150.2384323007823","-1445.0729488418085","-1445.0729488418085","-1445.0729488418085","-1259.6347113258944","-1259.6347113258944","-1259.6347113258944","-1350.486059416291","-1350.486059416291","-1350.486059416291","-1340.8219599957602","-1340.8219599957602","-1340.8219599957602","-1442.1383966454978","-1442.1383966454978","-1442.1383966454978","-1296.5435151743245","-1296.5435151743245","-1296.5435151743245","-1327.015347688911","-1327.015347688911","-1327.015347688911","-1318.9287708777076","-1318.9287708777076","-1318.9287708777076","-1397.1249817508512","-1397.1249817508512","-1397.1249817508512","-1439.6965740143798","-1439.6965740143798","-1439.6965740143798"
"2700","-1188.3467097875568","-1188.3467097875568","-1188.3467097875568","-1276.784138727588","-1276.784138727588","-1276.784138727588","-1359.575350806887","-1359.575350806887","-1359.575350806887","-1193.654306292617","-1193.654306292617","-1193.654306292617","-1090.1598598053185","-1090.1598598053185","-1090.1598598053185","-1228.4725980173428","-1228.4725980173428","-1228.4725980173428","-1286.4647045176653","-1286.4647045176653","-1286.4647045176653","-1049.5706520968772","-1049.5706520968772","-1049.5706520968772","-1012.5890560584661","-1012.5890560584661","-1012.5890560584661","-1257.1215569497574","-1257.1215569497574","-1257.1215569497574","-1215.9340922892127","-1215.9340922892127","-1215.9340922892127","-1218.9838864722192","-1218.9838864722192","-1218.9838864722192","-1118.2609989494536","-1118.2609989494536","-1118.2609989494536","-1260.3331453853907","-1260.3331453853907","-1260.3331453853907","-1165.2261242266109","-1165.2261242266109","-1165.2261242266109","-1213.7748643270581","-1213.7748643270581","-1213.7748643270581","-1222.1372542495897","-1222.1372542495897","-1222.1372542495897","-1155.092880279244","-1155.092880279244","-1155.092880279244","-1227.1733770011258","-1227.1733770011258","-1227.1733770011258","-1383.4756926347166","-1383.4756926347166","-1383.4756926347166"
