"Step","DDPG_TAAC_Pendulum-v1_19 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_18 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_17 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_16 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_15 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_14 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_13 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_12 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_11 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_10 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_9 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_8 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_7 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_6 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_5 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_4 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_3 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_2 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_1 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TAAC_Pendulum-v1_0 - eval/avg_reward","DDPG_TAAC_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TAAC_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"300","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"600","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"900","-1503.804792105644","-1503.804792105644","-1503.804792105644","-1475.0170243989364","-1475.0170243989364","-1475.0170243989364","-1591.8211642381018","-1591.8211642381018","-1591.8211642381018","-1598.4139864748404","-1598.4139864748404","-1598.4139864748404","-1241.0165949986626","-1241.0165949986626","-1241.0165949986626","-1363.8165800067818","-1363.8165800067818","-1363.8165800067818","-1462.0546516794298","-1462.0546516794298","-1462.0546516794298","-1391.5443069843982","-1391.5443069843982","-1391.5443069843982","-1228.5404766331526","-1228.5404766331526","-1228.5404766331526","-1371.4630300769684","-1371.4630300769684","-1371.4630300769684","-1184.6817079132456","-1184.6817079132456","-1184.6817079132456","-1252.7768097464254","-1252.7768097464254","-1252.7768097464254","-1148.5131212155022","-1148.5131212155022","-1148.5131212155022","-1466.2115214454045","-1466.2115214454045","-1466.2115214454045","-1351.5374031714982","-1351.5374031714982","-1351.5374031714982","-1439.7389913540462","-1439.7389913540462","-1439.7389913540462","-1230.298861410009","-1230.298861410009","-1230.298861410009","-1213.509633523391","-1213.509633523391","-1213.509633523391","-1336.6837322155432","-1336.6837322155432","-1336.6837322155432","-1049.3633178096984","-1049.3633178096984","-1049.3633178096984"
"1200","-1607.6256338771989","-1607.6256338771989","-1607.6256338771989","-1733.19066338866","-1733.19066338866","-1733.19066338866","-1701.1460640936762","-1701.1460640936762","-1701.1460640936762","-1369.9965301629766","-1369.9965301629766","-1369.9965301629766","-1718.667981448143","-1718.667981448143","-1718.667981448143","-1476.4806437403222","-1476.4806437403222","-1476.4806437403222","-1526.678104943877","-1526.678104943877","-1526.678104943877","-1490.8755685944027","-1490.8755685944027","-1490.8755685944027","-1579.7957758658708","-1579.7957758658708","-1579.7957758658708","-1376.056272528274","-1376.056272528274","-1376.056272528274","-1658.7680235297169","-1658.7680235297169","-1658.7680235297169","-1731.9330436647847","-1731.9330436647847","-1731.9330436647847","-1503.3925137409076","-1503.3925137409076","-1503.3925137409076","-1703.9635676935006","-1703.9635676935006","-1703.9635676935006","-1528.7391036420588","-1528.7391036420588","-1528.7391036420588","-1621.8798750518206","-1621.8798750518206","-1621.8798750518206","-1845.956281113801","-1845.956281113801","-1845.956281113801","-1422.6764832770455","-1422.6764832770455","-1422.6764832770455","-1588.9424972018935","-1588.9424972018935","-1588.9424972018935","-1660.4033245608018","-1660.4033245608018","-1660.4033245608018"
"1500","-1466.5775921003667","-1466.5775921003667","-1466.5775921003667","-1460.5183641753365","-1460.5183641753365","-1460.5183641753365","-1605.71093677","-1605.71093677","-1605.71093677","-1615.7168268758821","-1615.7168268758821","-1615.7168268758821","-1497.8478074021107","-1497.8478074021107","-1497.8478074021107","-1472.832957337888","-1472.832957337888","-1472.832957337888","-1573.0187175854128","-1573.0187175854128","-1573.0187175854128","-1552.8563706028697","-1552.8563706028697","-1552.8563706028697","-1496.5324951098266","-1496.5324951098266","-1496.5324951098266","-1439.463795196658","-1439.463795196658","-1439.463795196658","-1518.445781701239","-1518.445781701239","-1518.445781701239","-1480.8610863973925","-1480.8610863973925","-1480.8610863973925","-1505.2136662431676","-1505.2136662431676","-1505.2136662431676","-1538.8370000683522","-1538.8370000683522","-1538.8370000683522","-1857.3050097272662","-1857.3050097272662","-1857.3050097272662","-1456.1619215554133","-1456.1619215554133","-1456.1619215554133","-1580.8071260589033","-1580.8071260589033","-1580.8071260589033","-1521.451753308619","-1521.451753308619","-1521.451753308619","-1485.9000620881786","-1485.9000620881786","-1485.9000620881786","-1480.6999531749473","-1480.6999531749473","-1480.6999531749473"
"1800","-1465.6661200775288","-1465.6661200775288","-1465.6661200775288","-1479.823937798113","-1479.823937798113","-1479.823937798113","-1593.1480803181075","-1593.1480803181075","-1593.1480803181075","-1586.835659353105","-1586.835659353105","-1586.835659353105","-1517.6954661334398","-1517.6954661334398","-1517.6954661334398","-1535.9645386869345","-1535.9645386869345","-1535.9645386869345","-1531.166472853775","-1531.166472853775","-1531.166472853775","-1489.2110210728983","-1489.2110210728983","-1489.2110210728983","-1420.1480434592931","-1420.1480434592931","-1420.1480434592931","-1463.7296586348903","-1463.7296586348903","-1463.7296586348903","-1559.766282479875","-1559.766282479875","-1559.766282479875","-1595.3642167321211","-1595.3642167321211","-1595.3642167321211","-1452.664653058334","-1452.664653058334","-1452.664653058334","-1560.4556593021164","-1560.4556593021164","-1560.4556593021164","-1545.7354832237274","-1545.7354832237274","-1545.7354832237274","-1452.9906174666999","-1452.9906174666999","-1452.9906174666999","-1539.6044081497612","-1539.6044081497612","-1539.6044081497612","-1492.045880438926","-1492.045880438926","-1492.045880438926","-1457.0172004019148","-1457.0172004019148","-1457.0172004019148","-1608.5998763162765","-1608.5998763162765","-1608.5998763162765"
"2100","-1465.8387850167005","-1465.8387850167005","-1465.8387850167005","-1474.2141517616406","-1474.2141517616406","-1474.2141517616406","-1505.391417886976","-1505.391417886976","-1505.391417886976","-1337.5296035253336","-1337.5296035253336","-1337.5296035253336","-1514.1776907482058","-1514.1776907482058","-1514.1776907482058","-1474.4786201503146","-1474.4786201503146","-1474.4786201503146","-1675.9904593877934","-1675.9904593877934","-1675.9904593877934","-1382.1733836057447","-1382.1733836057447","-1382.1733836057447","-1478.5392577997652","-1478.5392577997652","-1478.5392577997652","-1431.0785086352394","-1431.0785086352394","-1431.0785086352394","-1428.1781043147116","-1428.1781043147116","-1428.1781043147116","-1551.8840645209652","-1551.8840645209652","-1551.8840645209652","-1355.085331040877","-1355.085331040877","-1355.085331040877","-1484.4609889956103","-1484.4609889956103","-1484.4609889956103","-1644.6589137231822","-1644.6589137231822","-1644.6589137231822","-1443.0562204067064","-1443.0562204067064","-1443.0562204067064","-1431.762766807295","-1431.762766807295","-1431.762766807295","-1460.3267689506806","-1460.3267689506806","-1460.3267689506806","-1521.7093300875451","-1521.7093300875451","-1521.7093300875451","-1471.606920932571","-1471.606920932571","-1471.606920932571"
"2400","-1478.8773486528728","-1478.8773486528728","-1478.8773486528728","-1452.3778159070348","-1452.3778159070348","-1452.3778159070348","-1414.9750537626164","-1414.9750537626164","-1414.9750537626164","-1251.4038631063213","-1251.4038631063213","-1251.4038631063213","-1475.541378043346","-1475.541378043346","-1475.541378043346","-1253.8756007764207","-1253.8756007764207","-1253.8756007764207","-1389.7905369585928","-1389.7905369585928","-1389.7905369585928","-1176.1910749706472","-1176.1910749706472","-1176.1910749706472","-1174.3194411469653","-1174.3194411469653","-1174.3194411469653","-1331.2467670916808","-1331.2467670916808","-1331.2467670916808","-1196.7219785273421","-1196.7219785273421","-1196.7219785273421","-1298.877061862498","-1298.877061862498","-1298.877061862498","-1157.7052460417162","-1157.7052460417162","-1157.7052460417162","-1540.2652896989907","-1540.2652896989907","-1540.2652896989907","-1480.451571006258","-1480.451571006258","-1480.451571006258","-1348.3231422044205","-1348.3231422044205","-1348.3231422044205","-1316.4192796155542","-1316.4192796155542","-1316.4192796155542","-1316.8254756441386","-1316.8254756441386","-1316.8254756441386","-1170.0262209685318","-1170.0262209685318","-1170.0262209685318","-1191.7939201725894","-1191.7939201725894","-1191.7939201725894"
"2700","-1276.1562680220443","-1276.1562680220443","-1276.1562680220443","-1241.6616602454246","-1241.6616602454246","-1241.6616602454246","-1283.895764425314","-1283.895764425314","-1283.895764425314","-1169.1863885984305","-1169.1863885984305","-1169.1863885984305","-1295.7663456303676","-1295.7663456303676","-1295.7663456303676","-1038.5060303935377","-1038.5060303935377","-1038.5060303935377","-1250.7590101034293","-1250.7590101034293","-1250.7590101034293","-1062.6607829480847","-1062.6607829480847","-1062.6607829480847","-962.7282559663925","-962.7282559663925","-962.7282559663925","-1172.633460350587","-1172.633460350587","-1172.633460350587","-1095.4452987633774","-1095.4452987633774","-1095.4452987633774","-1176.8988686621217","-1176.8988686621217","-1176.8988686621217","-932.8779907283595","-932.8779907283595","-932.8779907283595","-1343.7357622636382","-1343.7357622636382","-1343.7357622636382","-1084.7128676219836","-1084.7128676219836","-1084.7128676219836","-1139.4392294513896","-1139.4392294513896","-1139.4392294513896","-1203.0423787040852","-1203.0423787040852","-1203.0423787040852","-1124.4619903594137","-1124.4619903594137","-1124.4619903594137","-993.5593184163632","-993.5593184163632","-993.5593184163632","-1106.658957030369","-1106.658957030369","-1106.658957030369"
