"Step","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"0","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"300","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"600","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"900","-1401.6226261599954","-1401.6226261599954","-1401.6226261599954","-1435.930552650268","-1435.930552650268","-1435.930552650268","-1448.9737364488112","-1448.9737364488112","-1448.9737364488112","-1568.9914164926765","-1568.9914164926765","-1568.9914164926765","-1209.5689572761542","-1209.5689572761542","-1209.5689572761542","-1248.506786966152","-1248.506786966152","-1248.506786966152","-1551.8436031626215","-1551.8436031626215","-1551.8436031626215","-1076.9632882264573","-1076.9632882264573","-1076.9632882264573","-1275.2165836417412","-1275.2165836417412","-1275.2165836417412","-1452.7631073899386","-1452.7631073899386","-1452.7631073899386","-1231.4761808535611","-1231.4761808535611","-1231.4761808535611","-1227.1472525562713","-1227.1472525562713","-1227.1472525562713","-1287.533745727514","-1287.533745727514","-1287.533745727514","-1448.4177689706441","-1448.4177689706441","-1448.4177689706441","-1436.4946402293442","-1436.4946402293442","-1436.4946402293442","-1494.0380537227197","-1494.0380537227197","-1494.0380537227197","-1149.8804169778966","-1149.8804169778966","-1149.8804169778966","-1251.0188341915482","-1251.0188341915482","-1251.0188341915482","-1489.5534472957415","-1489.5534472957415","-1489.5534472957415","-1062.5954729358295","-1062.5954729358295","-1062.5954729358295"
"1200","-1308.1953702711257","-1308.1953702711257","-1308.1953702711257","-1730.7611690241345","-1730.7611690241345","-1730.7611690241345","-1787.66991173213","-1787.66991173213","-1787.66991173213","-1646.0876065894365","-1646.0876065894365","-1646.0876065894365","-1274.2795446308278","-1274.2795446308278","-1274.2795446308278","-1416.7151855822135","-1416.7151855822135","-1416.7151855822135","-1716.2675394784455","-1716.2675394784455","-1716.2675394784455","-1540.439424388121","-1540.439424388121","-1540.439424388121","-1780.4472160782557","-1780.4472160782557","-1780.4472160782557","-1707.4395884266535","-1707.4395884266535","-1707.4395884266535","-1745.6244635104063","-1745.6244635104063","-1745.6244635104063","-1641.2148220059469","-1641.2148220059469","-1641.2148220059469","-1797.9972885411553","-1797.9972885411553","-1797.9972885411553","-1771.6830587116965","-1771.6830587116965","-1771.6830587116965","-1585.748145851719","-1585.748145851719","-1585.748145851719","-1589.7525318520197","-1589.7525318520197","-1589.7525318520197","-1713.7256470177897","-1713.7256470177897","-1713.7256470177897","-1356.9964149880684","-1356.9964149880684","-1356.9964149880684","-1591.5333294939041","-1591.5333294939041","-1591.5333294939041","-1726.3288016425875","-1726.3288016425875","-1726.3288016425875"
"1500","-1476.0662353258356","-1476.0662353258356","-1476.0662353258356","-1539.3292751706972","-1539.3292751706972","-1539.3292751706972","-1637.6980851790433","-1637.6980851790433","-1637.6980851790433","-1485.5565448849577","-1485.5565448849577","-1485.5565448849577","-1425.5088193835243","-1425.5088193835243","-1425.5088193835243","-1566.5134759239456","-1566.5134759239456","-1566.5134759239456","-1503.8699665875042","-1503.8699665875042","-1503.8699665875042","-1525.287719081861","-1525.287719081861","-1525.287719081861","-1519.0617302183923","-1519.0617302183923","-1519.0617302183923","-1536.4517096120044","-1536.4517096120044","-1536.4517096120044","-1484.0352629704344","-1484.0352629704344","-1484.0352629704344","-1576.3120855135548","-1576.3120855135548","-1576.3120855135548","-1599.6892926299984","-1599.6892926299984","-1599.6892926299984","-1566.9830746954665","-1566.9830746954665","-1566.9830746954665","-1551.1342990406615","-1551.1342990406615","-1551.1342990406615","-1577.7896249994649","-1577.7896249994649","-1577.7896249994649","-1712.0173376098676","-1712.0173376098676","-1712.0173376098676","-1557.3539476312994","-1557.3539476312994","-1557.3539476312994","-1462.9864519326661","-1462.9864519326661","-1462.9864519326661","-1522.7441269801534","-1522.7441269801534","-1522.7441269801534"
"1800","-1450.502608910088","-1450.502608910088","-1450.502608910088","-1496.4723498014282","-1496.4723498014282","-1496.4723498014282","-1575.105977756004","-1575.105977756004","-1575.105977756004","-1477.700910248178","-1477.700910248178","-1477.700910248178","-1411.6608497793297","-1411.6608497793297","-1411.6608497793297","-1469.010073323979","-1469.010073323979","-1469.010073323979","-1490.6400740940305","-1490.6400740940305","-1490.6400740940305","-1423.9273054054345","-1423.9273054054345","-1423.9273054054345","-1497.8889963358185","-1497.8889963358185","-1497.8889963358185","-1467.8159960834241","-1467.8159960834241","-1467.8159960834241","-1464.8611305097709","-1464.8611305097709","-1464.8611305097709","-1471.136271888917","-1471.136271888917","-1471.136271888917","-1519.374090827901","-1519.374090827901","-1519.374090827901","-1503.612369612206","-1503.612369612206","-1503.612369612206","-1502.9532338905744","-1502.9532338905744","-1502.9532338905744","-1457.874592330149","-1457.874592330149","-1457.874592330149","-1517.0771513304194","-1517.0771513304194","-1517.0771513304194","-1481.4743755302145","-1481.4743755302145","-1481.4743755302145","-1481.5089111184293","-1481.5089111184293","-1481.5089111184293","-1482.5078535512498","-1482.5078535512498","-1482.5078535512498"
"2100","-1454.5830827879868","-1454.5830827879868","-1454.5830827879868","-1478.2210347630844","-1478.2210347630844","-1478.2210347630844","-1525.0822735535191","-1525.0822735535191","-1525.0822735535191","-1411.8836664084524","-1411.8836664084524","-1411.8836664084524","-1490.6254833120176","-1490.6254833120176","-1490.6254833120176","-1454.3781634155607","-1454.3781634155607","-1454.3781634155607","-1488.0099339579754","-1488.0099339579754","-1488.0099339579754","-1380.4366752341016","-1380.4366752341016","-1380.4366752341016","-1488.5402700483842","-1488.5402700483842","-1488.5402700483842","-1368.4308621807502","-1368.4308621807502","-1368.4308621807502","-1464.9325765747813","-1464.9325765747813","-1464.9325765747813","-1470.1698903757228","-1470.1698903757228","-1470.1698903757228","-1520.7044691354936","-1520.7044691354936","-1520.7044691354936","-1492.6495441009197","-1492.6495441009197","-1492.6495441009197","-1465.918595517485","-1465.918595517485","-1465.918595517485","-1436.9200491792767","-1436.9200491792767","-1436.9200491792767","-1506.0804861775173","-1506.0804861775173","-1506.0804861775173","-1429.4809821073418","-1429.4809821073418","-1429.4809821073418","-1445.942380403733","-1445.942380403733","-1445.942380403733","-1460.1235787264575","-1460.1235787264575","-1460.1235787264575"
"2400","-1448.375084835963","-1448.375084835963","-1448.375084835963","-1417.8144764621047","-1417.8144764621047","-1417.8144764621047","-1379.671552386185","-1379.671552386185","-1379.671552386185","-1350.2119945156041","-1350.2119945156041","-1350.2119945156041","-1462.0697729540982","-1462.0697729540982","-1462.0697729540982","-1434.728103803384","-1434.728103803384","-1434.728103803384","-1406.852374978324","-1406.852374978324","-1406.852374978324","-1167.432999376801","-1167.432999376801","-1167.432999376801","-1369.3963211887483","-1369.3963211887483","-1369.3963211887483","-1348.2266447803506","-1348.2266447803506","-1348.2266447803506","-1332.4567638187984","-1332.4567638187984","-1332.4567638187984","-1370.3642971254512","-1370.3642971254512","-1370.3642971254512","-1305.9122576279822","-1305.9122576279822","-1305.9122576279822","-1382.9202149111534","-1382.9202149111534","-1382.9202149111534","-1367.9573923114651","-1367.9573923114651","-1367.9573923114651","-1299.0128736504662","-1299.0128736504662","-1299.0128736504662","-1300.791982534097","-1300.791982534097","-1300.791982534097","-1450.6475078940978","-1450.6475078940978","-1450.6475078940978","-1363.9485845357963","-1363.9485845357963","-1363.9485845357963","-1447.64193639708","-1447.64193639708","-1447.64193639708"
"2700","-1328.4415524215865","-1328.4415524215865","-1328.4415524215865","-1179.5137137205343","-1179.5137137205343","-1179.5137137205343","-1283.221416877428","-1283.221416877428","-1283.221416877428","-1209.8493792769436","-1209.8493792769436","-1209.8493792769436","-1309.4903408807975","-1309.4903408807975","-1309.4903408807975","-1219.6551998056268","-1219.6551998056268","-1219.6551998056268","-1310.6881508032254","-1310.6881508032254","-1310.6881508032254","-1050.570302012095","-1050.570302012095","-1050.570302012095","-1277.731271544118","-1277.731271544118","-1277.731271544118","-1263.516918800731","-1263.516918800731","-1263.516918800731","-1141.8601068807834","-1141.8601068807834","-1141.8601068807834","-1193.2246861962024","-1193.2246861962024","-1193.2246861962024","-1108.8782437612767","-1108.8782437612767","-1108.8782437612767","-1305.0661234545312","-1305.0661234545312","-1305.0661234545312","-1258.4535526205484","-1258.4535526205484","-1258.4535526205484","-1153.2761713742482","-1153.2761713742482","-1153.2761713742482","-1223.0357840448555","-1223.0357840448555","-1223.0357840448555","-1189.3348966860317","-1189.3348966860317","-1189.3348966860317","-1232.2495961041907","-1232.2495961041907","-1232.2495961041907","-1133.623821628885","-1133.623821628885","-1133.623821628885"
