0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
-1.621,-2.325,-2.596,-2.78,-2.921,-3.047,-3.168,-3.28,-3.383,-3.49,-3.59,-3.69,-3.791,-3.892,-3.994,-4.095,-4.196,-4.299,-4.401,-4.504,-4.611,-4.719,-4.828,-4.939,-5.048,-5.161,-5.277,-5.397,-5.518,-5.642,-5.795,-5.944,-6.127,-6.322,-6.53,-6.738,-6.988,-7.271,-7.557,-7.883,-8.203,-8.527,-8.862,-9.206,-9.558,-9.928,-10.321,-10.699,-11.085,-11.453,-11.81,-12.175,-12.53,-12.871,-13.194,-13.515,-13.822,-14.126,-14.406,-14.682,-14.948,-15.201,-15.446,-15.676,-15.898,-16.112,-16.315,-16.511,-16.697,-16.877,-17.049,-17.213,-17.372,-17.523,-17.669
-1.624,-2.322,-2.589,-2.768,-2.921,-3.051,-3.169,-3.278,-3.385,-3.489,-3.589,-3.687,-3.789,-3.885,-3.988,-4.089,-4.191,-4.292,-4.395,-4.5,-4.607,-4.716,-4.827,-4.939,-5.051,-5.165,-5.278,-5.398,-5.52,-5.652,-5.813,-5.987,-6.15,-6.35,-6.575,-6.818,-7.091,-7.327,-7.647,-7.97,-8.317,-8.65,-9.005,-9.369,-9.735,-10.084,-10.444,-10.837,-11.199,-11.572,-11.946,-12.293,-12.64,-12.994,-13.315,-13.627,-13.947,-14.245,-14.534,-14.806,-15.068,-15.32,-15.559,-15.788,-16.009,-16.22,-16.421,-16.614,-16.797,-16.973,-17.142,-17.305,-17.46,-17.61,-17.753
-1.623,-2.34,-2.601,-2.779,-2.922,-3.049,-3.166,-3.277,-3.387,-3.49,-3.594,-3.691,-3.792,-3.894,-3.996,-4.098,-4.199,-4.302,-4.405,-4.507,-4.612,-4.72,-4.828,-4.94,-5.053,-5.169,-5.288,-5.408,-5.53,-5.652,-5.785,-5.953,-6.113,-6.328,-6.525,-6.746,-7.014,-7.251,-7.574,-7.896,-8.228,-8.584,-8.928,-9.293,-9.668,-10.026,-10.424,-10.807,-11.18,-11.557,-11.929,-12.289,-12.651,-12.992,-13.318,-13.647,-13.959,-14.261,-14.545,-14.818,-15.08,-15.332,-15.574,-15.805,-16.024,-16.234,-16.435,-16.628,-16.812,-16.988,-17.157,-17.319,-17.474,-17.623,-17.766
-1.61,-2.313,-2.598,-2.779,-2.923,-3.052,-3.168,-3.278,-3.385,-3.489,-3.593,-3.695,-3.797,-3.895,-3.995,-4.094,-4.195,-4.297,-4.397,-4.5,-4.607,-4.714,-4.826,-4.937,-5.05,-5.165,-5.28,-5.402,-5.535,-5.665,-5.809,-5.971,-6.109,-6.285,-6.494,-6.716,-6.99,-7.272,-7.544,-7.854,-8.159,-8.497,-8.829,-9.196,-9.565,-9.942,-10.314,-10.692,-11.064,-11.449,-11.832,-12.195,-12.566,-12.931,-13.278,-13.603,-13.914,-14.207,-14.498,-14.764,-15.032,-15.288,-15.529,-15.76,-15.982,-16.193,-16.395,-16.587,-16.773,-16.95,-17.12,-17.283,-17.439,-17.589,-17.733
-1.631,-2.34,-2.616,-2.794,-2.933,-3.059,-3.174,-3.286,-3.39,-3.486,-3.588,-3.685,-3.784,-3.884,-3.987,-4.089,-4.191,-4.293,-4.396,-4.501,-4.608,-4.714,-4.824,-4.934,-5.045,-5.16,-5.28,-5.396,-5.516,-5.651,-5.786,-5.947,-6.123,-6.307,-6.554,-6.782,-7.038,-7.301,-7.611,-7.924,-8.26,-8.605,-8.961,-9.313,-9.68,-10.049,-10.402,-10.78,-11.163,-11.553,-11.933,-12.295,-12.661,-12.994,-13.325,-13.651,-13.959,-14.255,-14.533,-14.806,-15.071,-15.319,-15.562,-15.79,-16.011,-16.22,-16.422,-16.614,-16.799,-16.975,-17.145,-17.306,-17.462,-17.611,-17.755
-1.606,-2.331,-2.601,-2.783,-2.929,-3.056,-3.173,-3.28,-3.383,-3.488,-3.587,-3.69,-3.789,-3.888,-3.989,-4.091,-4.192,-4.295,-4.398,-4.503,-4.609,-4.715,-4.824,-4.937,-5.047,-5.157,-5.274,-5.394,-5.516,-5.654,-5.818,-5.954,-6.126,-6.326,-6.54,-6.779,-7.039,-7.307,-7.586,-7.909,-8.219,-8.611,-8.953,-9.314,-9.71,-10.1,-10.468,-10.85,-11.213,-11.583,-11.962,-12.331,-12.689,-13.049,-13.387,-13.707,-14.02,-14.314,-14.593,-14.856,-15.113,-15.363,-15.602,-15.83,-16.05,-16.259,-16.459,-16.65,-16.832,-17.007,-17.176,-17.337,-17.492,-17.64,-17.783
-1.626,-2.321,-2.595,-2.777,-2.926,-3.055,-3.175,-3.283,-3.389,-3.494,-3.597,-3.697,-3.798,-3.897,-3.998,-4.098,-4.196,-4.299,-4.4,-4.505,-4.61,-4.714,-4.824,-4.934,-5.045,-5.159,-5.273,-5.39,-5.51,-5.631,-5.777,-5.933,-6.107,-6.3,-6.496,-6.759,-7.055,-7.344,-7.647,-7.986,-8.299,-8.635,-8.983,-9.308,-9.664,-10.038,-10.418,-10.802,-11.188,-11.558,-11.927,-12.276,-12.64,-12.988,-13.312,-13.634,-13.94,-14.235,-14.518,-14.789,-15.047,-15.296,-15.532,-15.763,-15.982,-16.191,-16.393,-16.587,-16.772,-16.949,-17.119,-17.282,-17.439,-17.589,-17.733
-1.619,-2.321,-2.597,-2.776,-2.923,-3.054,-3.174,-3.284,-3.391,-3.49,-3.593,-3.695,-3.797,-3.899,-3.998,-4.098,-4.198,-4.3,-4.403,-4.509,-4.614,-4.72,-4.83,-4.941,-5.052,-5.163,-5.282,-5.41,-5.538,-5.674,-5.826,-5.99,-6.175,-6.386,-6.6,-6.823,-7.069,-7.317,-7.591,-7.91,-8.243,-8.592,-8.948,-9.306,-9.68,-10.035,-10.415,-10.806,-11.19,-11.59,-11.96,-12.326,-12.682,-13.032,-13.374,-13.692,-14.009,-14.313,-14.598,-14.872,-15.13,-15.38,-15.614,-15.843,-16.058,-16.264,-16.463,-16.65,-16.834,-17.009,-17.178,-17.339,-17.494,-17.642,-17.785
-1.622,-2.346,-2.616,-2.788,-2.935,-3.059,-3.175,-3.284,-3.387,-3.491,-3.593,-3.695,-3.792,-3.89,-3.99,-4.09,-4.192,-4.293,-4.396,-4.501,-4.603,-4.71,-4.817,-4.927,-5.039,-5.155,-5.27,-5.387,-5.505,-5.639,-5.786,-5.934,-6.149,-6.35,-6.593,-6.869,-7.117,-7.413,-7.71,-8.026,-8.343,-8.697,-9.048,-9.41,-9.769,-10.161,-10.524,-10.878,-11.25,-11.634,-12.005,-12.373,-12.741,-13.092,-13.431,-13.755,-14.05,-14.347,-14.634,-14.909,-15.173,-15.422,-15.66,-15.887,-16.105,-16.313,-16.512,-16.702,-16.884,-17.058,-17.224,-17.384,-17.537,-17.685,-17.826
-1.609,-2.321,-2.594,-2.775,-2.922,-3.05,-3.168,-3.271,-3.379,-3.481,-3.584,-3.686,-3.786,-3.886,-3.988,-4.087,-4.191,-4.294,-4.399,-4.502,-4.608,-4.716,-4.825,-4.936,-5.049,-5.162,-5.279,-5.396,-5.521,-5.656,-5.798,-5.954,-6.127,-6.334,-6.559,-6.782,-7.026,-7.282,-7.544,-7.862,-8.189,-8.532,-8.885,-9.233,-9.594,-9.971,-10.381,-10.768,-11.166,-11.545,-11.915,-12.28,-12.641,-12.989,-13.331,-13.65,-13.961,-14.253,-14.534,-14.811,-15.076,-15.327,-15.568,-15.799,-16.018,-16.228,-16.427,-16.618,-16.8,-16.976,-17.146,-17.308,-17.463,-17.613,-17.756
