0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.355,0.023,-0.247,-0.497,-0.734,-0.968,-1.204,-1.444,-1.69,-1.943,-2.198,-2.46,-2.734,-3.023,-3.324,-3.628,-3.968,-4.3,-4.71,-5.278,-5.963,-6.703,-7.472,-8.271,-9.126,-10.027,-10.838,-11.646,-12.386,-13.054,-13.673,-14.245,-14.769,-15.248,-15.686,-16.088,-16.458,-16.799,-17.114,-17.406,-17.677,-17.929,-18.163,-18.382,-18.586,-18.777,-18.955,-19.123,-19.281,-19.429,-19.569,-19.701,-19.825,-19.942,-20.053,-20.159,-20.258,-20.353,-20.443,-20.528,-20.609,-20.687,-20.76,-20.831,-20.898,-20.962,-21.023,-21.081,-21.137,-21.191,-21.242,-21.291,-21.339,-21.384,-21.427
0.361,0.022,-0.256,-0.505,-0.739,-0.972,-1.205,-1.443,-1.687,-1.937,-2.191,-2.452,-2.725,-3.009,-3.304,-3.61,-3.937,-4.3,-4.765,-5.252,-5.865,-6.548,-7.323,-8.168,-9.033,-9.934,-10.814,-11.635,-12.387,-13.069,-13.69,-14.258,-14.775,-15.247,-15.682,-16.074,-16.44,-16.782,-17.098,-17.391,-17.663,-17.915,-18.15,-18.369,-18.574,-18.765,-18.945,-19.113,-19.271,-19.42,-19.56,-19.692,-19.816,-19.934,-20.046,-20.151,-20.251,-20.346,-20.436,-20.522,-20.603,-20.681,-20.754,-20.825,-20.892,-20.956,-21.017,-21.076,-21.132,-21.186,-21.237,-21.287,-21.334,-21.379,-21.423
0.364,0.034,-0.244,-0.495,-0.737,-0.974,-1.209,-1.447,-1.691,-1.941,-2.196,-2.455,-2.724,-3.004,-3.296,-3.598,-3.928,-4.298,-4.762,-5.298,-5.936,-6.682,-7.46,-8.313,-9.181,-10.05,-10.892,-11.679,-12.392,-13.07,-13.688,-14.249,-14.763,-15.239,-15.678,-16.081,-16.451,-16.792,-17.108,-17.4,-17.671,-17.923,-18.158,-18.377,-18.581,-18.772,-18.951,-19.119,-19.277,-19.425,-19.565,-19.697,-19.821,-19.939,-20.05,-20.156,-20.255,-20.35,-20.44,-20.526,-20.607,-20.684,-20.758,-20.828,-20.895,-20.959,-21.021,-21.079,-21.135,-21.189,-21.24,-21.29,-21.337,-21.382,-21.426
0.358,0.025,-0.25,-0.495,-0.734,-0.97,-1.204,-1.444,-1.691,-1.942,-2.203,-2.47,-2.744,-3.03,-3.325,-3.626,-3.95,-4.318,-4.695,-5.206,-5.822,-6.468,-7.162,-7.897,-8.697,-9.589,-10.506,-11.362,-12.137,-12.805,-13.429,-14.013,-14.548,-15.039,-15.489,-15.902,-16.282,-16.632,-16.956,-17.256,-17.534,-17.792,-18.033,-18.257,-18.467,-18.663,-18.846,-19.019,-19.181,-19.333,-19.476,-19.612,-19.739,-19.86,-19.974,-20.082,-20.184,-20.281,-20.374,-20.461,-20.545,-20.624,-20.7,-20.772,-20.841,-20.906,-20.969,-21.029,-21.087,-21.142,-21.194,-21.245,-21.293,-21.34,-21.385
0.349,0.017,-0.253,-0.501,-0.738,-0.971,-1.208,-1.448,-1.695,-1.944,-2.2,-2.464,-2.733,-3.01,-3.304,-3.604,-3.917,-4.279,-4.765,-5.337,-6.018,-6.707,-7.404,-8.167,-8.983,-9.793,-10.613,-11.449,-12.222,-12.927,-13.568,-14.15,-14.679,-15.163,-15.606,-16.012,-16.386,-16.731,-17.05,-17.345,-17.619,-17.873,-18.11,-18.331,-18.537,-18.73,-18.911,-19.081,-19.24,-19.39,-19.531,-19.664,-19.79,-19.909,-20.021,-20.127,-20.228,-20.324,-20.415,-20.501,-20.583,-20.661,-20.736,-20.807,-20.875,-20.939,-21.001,-21.06,-21.117,-21.171,-21.223,-21.273,-21.32,-21.366,-21.41
0.356,0.022,-0.248,-0.497,-0.734,-0.968,-1.204,-1.443,-1.689,-1.94,-2.199,-2.467,-2.743,-3.025,-3.314,-3.619,-3.95,-4.329,-4.762,-5.333,-5.947,-6.607,-7.341,-8.148,-8.992,-9.885,-10.778,-11.616,-12.385,-13.083,-13.714,-14.287,-14.808,-15.285,-15.721,-16.121,-16.489,-16.829,-17.142,-17.433,-17.702,-17.953,-18.186,-18.403,-18.607,-18.797,-18.975,-19.142,-19.299,-19.446,-19.585,-19.716,-19.84,-19.957,-20.068,-20.172,-20.271,-20.366,-20.455,-20.54,-20.621,-20.698,-20.771,-20.841,-20.908,-20.971,-21.032,-21.091,-21.146,-21.2,-21.251,-21.3,-21.347,-21.392,-21.435
0.35,0.015,-0.259,-0.51,-0.747,-0.978,-1.21,-1.445,-1.686,-1.933,-2.185,-2.446,-2.716,-2.994,-3.29,-3.599,-3.922,-4.277,-4.705,-5.244,-5.86,-6.577,-7.343,-8.167,-8.991,-9.861,-10.725,-11.544,-12.273,-12.941,-13.578,-14.159,-14.688,-15.172,-15.614,-16.02,-16.394,-16.738,-17.056,-17.351,-17.625,-17.879,-18.115,-18.336,-18.542,-18.735,-18.916,-19.085,-19.244,-19.394,-19.535,-19.668,-19.794,-19.912,-20.024,-20.131,-20.231,-20.327,-20.418,-20.504,-20.586,-20.664,-20.738,-20.809,-20.877,-20.941,-21.003,-21.062,-21.119,-21.173,-21.225,-21.274,-21.322,-21.368,-21.412
0.373,0.03,-0.25,-0.502,-0.744,-0.98,-1.214,-1.448,-1.687,-1.935,-2.192,-2.458,-2.734,-3.014,-3.305,-3.604,-3.917,-4.275,-4.705,-5.223,-5.779,-6.497,-7.266,-8.111,-8.959,-9.794,-10.6,-11.398,-12.171,-12.882,-13.526,-14.11,-14.643,-15.128,-15.573,-15.982,-16.357,-16.704,-17.024,-17.32,-17.595,-17.85,-18.088,-18.31,-18.518,-18.711,-18.893,-19.063,-19.224,-19.374,-19.516,-19.65,-19.776,-19.895,-20.008,-20.115,-20.216,-20.312,-20.403,-20.49,-20.572,-20.651,-20.726,-20.797,-20.865,-20.93,-20.992,-21.052,-21.108,-21.163,-21.215,-21.265,-21.313,-21.359,-21.403
0.354,0.019,-0.254,-0.501,-0.738,-0.971,-1.206,-1.446,-1.689,-1.938,-2.19,-2.452,-2.725,-3.011,-3.308,-3.611,-3.924,-4.245,-4.695,-5.207,-5.764,-6.4,-7.093,-7.849,-8.636,-9.46,-10.288,-11.091,-11.86,-12.577,-13.229,-13.815,-14.349,-14.846,-15.304,-15.727,-16.117,-16.475,-16.807,-17.114,-17.399,-17.664,-17.91,-18.14,-18.355,-18.556,-18.744,-18.92,-19.086,-19.242,-19.389,-19.528,-19.659,-19.782,-19.899,-20.01,-20.115,-20.214,-20.309,-20.398,-20.484,-20.565,-20.643,-20.717,-20.787,-20.854,-20.919,-20.98,-21.039,-21.095,-21.149,-21.201,-21.251,-21.299,-21.344
0.36,0.033,-0.243,-0.497,-0.74,-0.975,-1.21,-1.448,-1.689,-1.937,-2.194,-2.461,-2.735,-3.017,-3.309,-3.609,-3.92,-4.26,-4.68,-5.2,-5.788,-6.438,-7.095,-7.859,-8.695,-9.603,-10.453,-11.231,-11.959,-12.643,-13.292,-13.888,-14.433,-14.931,-15.387,-15.805,-16.19,-16.545,-16.874,-17.177,-17.459,-17.721,-17.965,-18.192,-18.405,-18.604,-18.79,-18.964,-19.128,-19.283,-19.428,-19.565,-19.695,-19.817,-19.932,-20.042,-20.146,-20.244,-20.338,-20.427,-20.511,-20.592,-20.668,-20.741,-20.811,-20.878,-20.941,-21.002,-21.06,-21.116,-21.17,-21.221,-21.27,-21.317,-21.362
